lemma_syntag	F
coton_N	1
cotte_N	10
cou_N	33
couard_Adj	8
couard_N	3
Couard_N	1
couardie_N	1
couardise_N	2
couche_N	3
coude_N	3
coudre_N	1
couenne_N	1
couette_N	1
couillard_N	1
couille_N	2
coulée_N	1
couleur_N	17
couleuvrinier_N	1
coulis_N	1
coulon_N	2
coulpe_N	8
coup_N	42
coupable_Adj	2
coupe_N	2
Coupée_N	1
couple_N	1
cour_N	46
courage_N	58
courageux_Adj	1
Courault_N	1
coureux_N	1
courge2_N	1
courgée_N	1
courir_N	5
Courlieu_N	1
couronne_N	20
couronnette_N	1
courroie_N	1
courroucement_N	1
courroucer_N	2
courrouceux_Adj	2
courroux_N	9
cours_N	8
course_N	2
coursier_N	4
court_Adj	11
courtaud_N	1
courtière_N	1
courtil_N	2
courtine_N	2
courtinette_N	1
courtois_Adj	54
courtoisie_N	22
cous_Adj	1
cousin_N	16
cousine_N	7
coussin_N	1
coute_N	1
couteau_N	6
coutume_N	13
coutumier_Adj	3
couture_N	1
Couture_N	1
couvent_N	10
couverteur_N	4
couverture_N	4
couvre-chef_N	1
covoitié_N	1
craie_N	1
crainte_N	8
craintif_Adj	2
crampe_N	1
cranequin_N	1
crapaud_N	1
créance_N	6
créateur_N	23
création_N	3
créature_N	34
crédit_N	1
credo_N	1
crème_N	1
creme2_N	1
crémeur_N	3
créneau_N	1
crenu_Adj	1
crepon_N	1
crequillon_N	1
crespe_Adj	1
Crespin_N	2
Crète_N	1
créteau_N	1
creux_N	1
cri_N	10
crïaison_N	1
cric_N	1
crime_N	1
criminel_Adj	1
crin_N	2
crine_N	1
cristal_N	5
croc_N	1
crochu_Adj	1
croissance_N	2
croix_N	48
croquepois_N	1
croupe_N	4
cru_Adj	2
cruauté_N	5
cruel_Adj	7
crueux_Adj	3
cruise_N	1
cueur_N	1
cuidance_N	1
cuider_N	2
cuir_N	6
cuirasse_N	1
cuirie_N	2
cuirien_N	3
cuisse_N	7
cul_N	12
culvert_N	4
curage_N	4
cure_N	52
curieux_Adj	2
curre_N	4
custode_N	1
cuvier_N	4
cygne_N	1
Cypre_N	2
Cyprien_N	5
Dagobert_N	1
dais_N	7
dam_N	2
Damas_N	1
dame_N	429
damedieu_N	30
Damedieu_N	3
Damien_N	3
damnable_Adj	1
damnation_N	5
damnement_N	4
damoiseau_N	6
damoiselle_N	66
dan_N	27
dancel_N	5
Danemark_N	7
danger_N	32
danois_Adj	8
danse_N	5
danseur_N	1
Danube__N	1
Danube_N	3
dard_N	11
Dardanus_N	3
darde_N	1
Darius_N	35
Darnestal_N	1
Dathan_N	1
Daunus_N	5
David_N	10
dé_N	5
dé2_N	1
déan_N	3
débat_N	2
débonnaire_Adj	16
déception_N	1
décès_N	1
décevable_Adj	2
décevance_N	1
décèvement_N	1
déchaux_Adj	4
déchevelé_Adj	1
déconfiture_N	2
déconfort_N	2
déconnue_N	2
déconseiller_N	1
décret_N	2
décrire_N	1
dédaigner_N	1
Dédaigneux_N	2
dédain_N	8
déduit_N	20
défaille_N	1
défait_N	1
défaut_N	7
défaute_N	2
défendement_N	1
défendeur_N	1
défens_N	2
défense_N	5
défiance_N	1
définement_N	6
définitif_Adj	1
défois_N	1
degré_N	10
dehait_N	2
dehé_N	3
déité_N	2
délai_N	8
délaiement_N	1
délice_N	4
délictable_Adj	1
délit_N	31
délitable_Adj	6
délivrance_N	1
délivre_Adj	14
délivrement_N	2
déloyal_Adj	8
déloyauté_N	3
déluge_N	2
demaine_Adj	1
demaine_N	2
demaine2_Adj	1
demande_N	1
démesurance_N	1
démesure_N	5
demeur_N	5
demeurable_Adj	1
demeurance_N	5
demeurant_N	1
demeure_N	11
demeurée_N	5
demeurement_N	1
demi_Adj	24
demi_N	1
demion_N	1
démoniaque_Adj	1
démontrable_Adj	1
démontrance_N	2
démontrer_N	1
démussons_N	1
Denain_N	1
denier_N	61
Denis_N	9
Denise_N	5
denrée_N	3
dent_N	22
denture_N	1
départ_N	1
département_N	1
départie_N	1
dépense_N	3
dépensier_N	1
dépit_N	10
dépiteux_Adj	1
déplaisance_N	2
déplaisir_N	4
déport_N	4
déraison_N	4
dérision_N	2
dernier_Adj	3
derrain_Adj	6
désagréable_Adj	1
désavenant_Adj	1
description_N	1
désert_Adj	1
désespérance_N	3
désespoir_N	5
desfaé_Adj	3
deshait_N	2
déshonnêtement_N	1
déshonneur_N	7
désier_N	2
désir_N	72
désirance_N	1
désirement_N	1
désireux_Adj	3
désirier_N	3
désolation_N	1
desouffert_N	1
despoise_N	1
desroi_N	6
desrubant_N	1
desrube_N	1
desruel_N	1
desserte_N	2
destin_N	1
destinée_N	5
destrer_N	1
destrier_N	37
destruction_N	2
desver_Adj	1
desverie_N	4
détente_N	1
détestable_Adj	2
détour_N	1
détourber_N	1
détourbier_N	7
détresse_N	12
détriance_N	1
détriment_N	1
détroit_Adj	4
détroit_N	2
dette_N	2
Detusca_N	1
deuil_N	64
deuillance_N	1
Deus_N	3
devié_N	2
devin_Adj	3
devin_N	4
devinaille_N	2
devis_N	5
devise_N	11
devision_N	1
devoir_N	24
dévot_Adj	3
dévote_N	1
dévotion_N	4
dexter_N	1
dextre_Adj	25
di_N	39
diable_N	43
diabolique_Adj	1
dial_N	6
dictature_N	1
dicté_N	1
Dido_N	1
Didon_N	1
dieu_N	742
Dieu_N	156
diffame_N	4
différence_N	1
digne_Adj	23
dignité_N	7
diligence_N	2
diligent_Adj	3
dimanche_N	6
Dimas_N	1
dîme_Adj	2
dîme_N	1
dînée_N	1
dîner_N	3
diocèse_N	1
dire_N	2
disciple_N	12
discipline_N	2
discord_N	4
discorde_N	5
discrétion_N	1
disette_N	2
disetteux_Adj	1
disposition_N	1
dissension_N	1
dissolution_N	1
distance_N	1
dit_N	29
dité_N	3
divenres_Adj	1
divers_Adj	3
divin_Adj	13
divinité_N	1
dizain_Adj	1
doctrine_N	5
doigt_N	13
dolent_Adj	58
Dolopathos_N	7
dom_N	2
domaine_N	4
domination_N	1
dominé_N	1
dominus_N	1
dommage_N	28
dommageable_Adj	1
don_N	54
donat_N	1
dondaine_N	1
donjon_N	3
donneur_N	2
dortoir_N	4
dos_N	5
dote_N	1
Douai_N	3
douaire_N	1
