lemma	F	
pourfendre	2	
pourgarder	1	
pourmener	1	
pourparler	2	
pourpenser	19	
pourpoindre	1	
pourprendre	5	
pourquérir	3	
pourrir	7	
poursoigner	1	
poursuivre	8	
pourtendre	1	
pourtraire	3	
pourvoir	22	
pouvoir	144	
pouvoir2	672	
pouvoir3	1	
pratiquer	1	
prêche	1	
prêcher	10	
prendre	513	
préparer	1	
présenter	15	
préserver	1	
pressentir	1	
presser	1	
présumer	2	
prétendre	2	
prêter	17	
prier	152	
principier	1	
priser	76	
privé	1	
priver	12	
procéder	2	
procréer	1	
procurer	2	
produire	6	
profiter	11	
promettre	64	
prononcer	2	
proposer	3	
proscrire	1	
prouver	22	STOP
puant	1	
publier	1	
pugner	1	
puir	11	
puiser	7	
punir	3	
puyer	1	
quasi	1	
quereller	1	
quérir	152	
quêter	1	
quitter	6	
rabattre	4	
raccointer	1	
raccorder	1	
racheter	6	
raconter	20	
radoté	1	
radoter	1	
raemplir	3	
raffermer	1	
raffubler	1	
rafraîchir	3	
raidir	1	
raiembre	3	
railler	3	
raisonner	1	
raller	17	
rallier	2	
rallumer	2	
ramasser	1	
ramembrer	2	
ramener	6	
ramentevoir	4	
ramer	2	
ramonner	1	
ramper	9	
ramponner	3	
ranger	1	
rapayer	1	
rappeler	4	
rapporter	6	
rapprendre	1	
rassembler	1	
rasseoir	3	
rassir	1	
rassoter	1	
rassotir	1	
rassouager	1	
ratteindre	1	
ravenir	1	
raverdir	1	
ravertir	1	
ravestir	1	
ravir	8	
raviser	6	
raviver	1	
ravoir	22	
ravoyer	2	
rayer	3	
rayer3	1	
rebarber	1	
rebouter	2	
rebuter	2	
recevoir	79	
rechanger	1	
recheoir	4	
réciter	6	
reclamer	6	
réclamer	2	
réclarcir	1	
reclore	1	
reclure	1	
recommander	5	
recommencer	4	
réconforter	7	
reconnaître	10	
reconter	5	
recontinuer	1	
reconvoyer	1	
recorder	7	
recoucher	1	
recourir	1	
recouvrer	17	
recouvrir	2	
recrier	1	
récrire	1	
recroire	9	
recueiller	2	
recueillir	10	
reculer	2	
redemander	2	
reder	1	
redevoir	3	
redire	2	
redonder	1	
redouter	11	
redresser	3	
refaire	16	
refalloir	1	
reférir	1	
refermer	2	
refreindre	1	
réfréner	2	
refroider	2	
refuser	24	
réfuter	1	
regarder	70	
régénérer	1	
regimber	1	
régir	1	
régner	18	
regracier	2	
regretter	4	
