wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,verstype,subtype,syllabified,ref
190,33,2,je,je,133,Prn,Prn$,je,7s,---,C/(e)\,"ConBeth, chanson 1, v. 33"
191,33,3,sui,sui,133,Vfin,Vfin,être,7s,---,C/V\,"ConBeth, chanson 1, v. 33"
192,33,4,si,si,133,Adv,Adv,si4,7s,---,C/V\,"ConBeth, chanson 1, v. 33"
193,33,5,meschaans,meschaans,133,Adj,Adj,,7s,---,C/V\.C/V\.'C/V\,"ConBeth, chanson 1, v. 33"
194,34,1,ke,ke,134,Sub,Sub,que,7s,---,C/(e)\,"ConBeth, chanson 1, v. 34"
195,34,2,quanques,quanques,134,Qux,Qux,quanque,7s,---,'C/V\.C/e\,"ConBeth, chanson 1, v. 34"
196,34,3,drois,drois,134,N,N,droit,7s,---,C/V\,"ConBeth, chanson 1, v. 34"
197,34,4,m',m',134,Prn,Prn$$,me,7s,---,C/\,"ConBeth, chanson 1, v. 34"
198,34,5,i,i,134,Prn,Prn$$,y2,7s,---,/V\,"ConBeth, chanson 1, v. 34"
199,34,6,avance,avance,134,Vfin,Vfin,avancer,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 34"
200,35,1,me,me,135,Prn,Prn$$,me,7s,---,C/(e)\,"ConBeth, chanson 1, v. 35"
201,35,2,retaut,retaut,135,Vfin,Vfin,retolir,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 35"
202,35,3,ma,ma,135,Det,Det,mon,7s,---,C/V\,"ConBeth, chanson 1, v. 35"
203,35,4,mescheance,mescheance,135,N,N,,7s,---,C/V\.C/(V)\.'/V\.C/(e)\,"ConBeth, chanson 1, v. 35"
204,35,5,.,.,135,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 35"
205,36,1,tous,tous,136,QIs,QIs,tout,7s,---,C/V\,"ConBeth, chanson 1, v. 36"
206,36,2,i,i,136,Prn,Prn$$,y2,7s,---,/V\,"ConBeth, chanson 1, v. 36"
207,36,3,morrai,morrai,136,Vfin,Vfin,mourir,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 36"
208,36,4,en,en,136,Pre,Pre,en,7s,---,/V\,"ConBeth, chanson 1, v. 36"
209,36,5,soffrance,soffrance,136,N,N,,7s,---,C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 36"
210,36,6,",",",",136,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 36"
211,37,1,mais,mais,137,Crd,Crd,mais,7s,---,C/V\,"ConBeth, chanson 1, v. 37"
212,37,2,sa,sa,137,Det,Det,son4,7s,---,C/V\,"ConBeth, chanson 1, v. 37"
