wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
156,27,2,got,got,2627,Vfin,Vfin,jouir,7s,---,C/V\,"AdHaleChans, chanson 26, v. 27"
157,27,3,dont,dont,2627,Qux,Qux,dont,7s,---,C/V\,"AdHaleChans, chanson 26, v. 27"
158,27,4,j',j',2627,Prn,Prn$,je,7s,---,C/\,"AdHaleChans, chanson 26, v. 27"
159,27,5,ai,ai,2627,Vfin,Vfin,avoir,7s,---,/V\,"AdHaleChans, chanson 26, v. 27"
160,27,6,famine,famine,2627,N,N,famine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 27"
161,27,7,.,.,2627,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 27"
162,28,1,he,he,2628,Exc,Exc,hé,7s,---,C/V\,"AdHaleChans, chanson 26, v. 28"
163,28,2,!,!,2628,Pnc,Pnc,!,7s,---,,"AdHaleChans, chanson 26, v. 28"
164,28,3,las,las,2628,Adj,Adj,las,7s,---,C/V\,"AdHaleChans, chanson 26, v. 28"
165,28,4,",",",",2628,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 28"
166,28,5,j',j',2628,Prn,Prn$,je,7s,---,C/\,"AdHaleChans, chanson 26, v. 28"
167,28,6,ai,ai,2628,Vfin,Vfin,avoir,7s,---,/V\,"AdHaleChans, chanson 26, v. 28"
168,28,7,a,a,2628,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 28"
169,28,8,boune,boune,2628,Adj,Adj,bon,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 28"
170,28,9,estrine,estrine,2628,N,N,étrenne,7s,---,/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 28"
171,29,1,le,le,2629,Det,Det,le,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 29"
172,29,2,cunkiét,cunkiét,2629,N,N,congé,7s,---,C/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 29"
173,29,3,du,du,2629,Pre+Det,Pre+Det,de.le,7s,---,C/V\,"AdHaleChans, chanson 26, v. 29"
174,29,4,baston,baston,2629,N,N,bâton,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 29"
175,29,5,",",",",2629,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 29"
176,30,1,quant,quant,2630,Sub,Sub,quand,7s,---,C/V\,"AdHaleChans, chanson 26, v. 30"
177,30,2,je,je,2630,Prn,Prn$,je,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 30"
178,30,3,vous,vous,2630,Prn,Prn$$,vous,7s,---,C/V\,"AdHaleChans, chanson 26, v. 30"
179,30,4,di,di,2630,Vfin,Vfin,dire,7s,---,C/V\,"AdHaleChans, chanson 26, v. 30"
180,30,5,a,a,2630,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 30"
181,30,6,bandon,bandon,2630,N,N,bandon,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 30"
182,31,1,de,de,2631,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 31"
183,31,2,men,men,2631,Det,Det,mon,7s,---,C/V\,"AdHaleChans, chanson 26, v. 31"
184,31,3,cuer,cuer,2631,N,N,coeur,7s,---,C/V\,"AdHaleChans, chanson 26, v. 31"
185,31,4,tout,tout,2631,QIs,QIs,tout,7s,---,C/V\,"AdHaleChans, chanson 26, v. 31"
186,31,5,le,le,2631,Det,Det,le,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 31"
187,31,6,couvine,couvine,2631,N,N,convine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 31"
188,32,1,pour,pour,2632,Pre,Pre,pour,7s,---,C/V\,"AdHaleChans, chanson 26, v. 32"
189,32,2,venir,venir,2632,Vinf,Vinf,venir,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 32"
190,32,3,a,a,2632,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 32"
191,32,4,garison,garison,2632,N,N,guérison,7s,---,C/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 32"
192,32,5,.,.,2632,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 32"
193,33,1,vo,vo,2633,Det,Det,votre,7s,---,C/V\,"AdHaleChans, chanson 26, v. 33"
194,33,2,bouce,bouce,2633,N,N,bouche,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 33"
195,33,3,a,a,2633,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 33"
196,33,4,dire,dire,2633,Vinf,Vinf,dire,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 33"
197,33,5,ne,ne,2633,Neg,Neg$$,ne,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 33"
198,33,6,fine,fine,2633,Vfin,Vfin,finer,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 33"
199,34,1,que,que,2634,Sub,Sub,que,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 34"
200,34,2,ja,ja,2634,Adv,Adv,jà,7s,---,C/V\,"AdHaleChans, chanson 26, v. 34"
201,34,3,n',n',2634,Neg,Neg$$,ne,7s,---,C/\,"AdHaleChans, chanson 26, v. 34"
202,34,4,arai,arai,2634,Vfin,Vfin,avoir,7s,---,/V\.'C/V\,"AdHaleChans, chanson 26, v. 34"
203,34,5,se,se,2634,Sub,Sub,si3,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 34"
204,34,6,mal,mal,2634,N,N,mal,7s,---,C/V\,"AdHaleChans, chanson 26, v. 34"
205,34,7,non,non,2634,NVP,NVP,non,7s,---,C/V\,"AdHaleChans, chanson 26, v. 34"
