wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
295,44,5,trestut,trèstout,trestut,44,QIs,QIs,C/V\.'C/V\,"Brendan, v. 44"
296,44,6,sun,son,sun,44,Det,Det,C/V\,"Brendan, v. 44"
297,44,7,lin,lin,lin,44,N,N,C/V\,"Brendan, v. 44"
298,44,8,",",",",",",44,Pnc,Pnc,,"Brendan, v. 44"
299,45,1,E,et,e,45,Crd,Crd,/V\,"Brendan, v. 45"
300,45,2,pur,pour,pur,45,Pre,Pre,C/V\,"Brendan, v. 45"
301,45,3,les,le,les,45,Det,Det,C/V\,"Brendan, v. 45"
302,45,4,morz,mourir,morz,45,Vpp,Vpp,C/V\,"Brendan, v. 45"
303,45,5,e,et,e,45,Crd,Crd,/V\,"Brendan, v. 45"
304,45,6,pur,pour,pur,45,Pre,Pre,C/V\,"Brendan, v. 45"
305,45,7,les,le,les,45,Det,Det,C/V\,"Brendan, v. 45"
306,45,8,vifs,vif,vifs,45,Adj,Adj,C/V\,"Brendan, v. 45"
307,45,9,",",",",",",45,Pnc,Pnc,,"Brendan, v. 45"
308,46,1,Quer,car,quer,46,Crd,Crd,C/V\,"Brendan, v. 46"
309,46,2,a,à,a,46,Pre,Pre,/V\,"Brendan, v. 46"
310,46,3,trestuz,trèstout,trestuz,46,QIs,QIs,C/V\.'C/V\,"Brendan, v. 46"
311,46,4,ert,être,ert,46,Vfin,Vfin,/V\,"Brendan, v. 46"
312,46,5,amis,ami,amis,46,N,N,/V\.'C/V\,"Brendan, v. 46"
313,46,6,.,.,.,46,Pnc,Pnc,,"Brendan, v. 46"
314,47,1,Mais,mais,mais,47,Crd,Crd,C/V\,"Brendan, v. 47"
315,47,2,de,de,de,47,Pre,Pre,C/(e)\,"Brendan, v. 47"
316,47,3,une,un,une,47,QIs,QIs,'/V\.C/(e)\,"Brendan, v. 47"
317,47,4,rien,rien,rien,47,N,N,C/V\,"Brendan, v. 47"
318,47,5,li,li,li,47,Prn,Prn$$,C/V\,"Brendan, v. 47"
319,47,6,prist,prendre,prist,47,Vfin,Vfin,C/V\,"Brendan, v. 47"
