wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
298,45,5,respont,respont,45,Vfin,Vfin,C/V\.'C/V\,répondre
299,45,6,:,:,45,Pnc,Pnc,,:
300,46,1,"""","""",46,Pnc,Pnc,,""""
301,46,2,sire,sire,46,N,N,'C/V\.C/(e)\,sire
302,46,3,",",",",46,Pnc,Pnc,,","
303,46,4,por,por,46,Pre,Pre,C/V\,pour
304,46,5,deu,deu,46,N,N,C/V\,dieu
305,46,6,qui,qui,46,Qux,Qux,C/V\,qui
306,46,7,fist,fist,46,Vfin,Vfin,C/V\,faire
307,46,8,le,le,46,Det,Det,C/(e)\,le
308,46,9,mont,mont,46,N,N,C/V\,monde
309,46,10,",",",",46,Pnc,Pnc,,","
310,47,1,ce,ce,47,Prn,Prn,C/(e)\,ce
311,47,2,dit,dit,47,Vfin,Vfin,C/V\,dire
312,47,3,mon,mon,47,Det,Det,C/V\,mon
313,47,4,baron,baron,47,N,N,C/V\.'C/V\,baron
314,47,5,sire,sire,47,N,N,'C/V\.C/(e)\,sire
315,47,6,mile,mile,47,N,N,'C/V\.C/(e)\,Mile
316,47,7,",",",",47,Pnc,Pnc,,","
317,48,1,de,de,48,Pre,Pre,C/(e)\,de
318,48,2,vin,vin,48,N,N,C/V\,vin
319,48,3,n',n',48,Neg,Neg$$,C/\,ne
320,48,4,a,a,48,Vfin,Vfin,/V\,avoir
321,48,5,point,point,48,Neg,Neg,C/V\,point
322,48,6,en,en,48,Pre,Pre,/V\,en
323,48,7,ceste,ceste,48,Dem,Dem,'C/V\.C/(e)\,cist
324,48,8,vile,vile,48,N,N,'C/V\.C/(e)\,ville
325,48,9,",",",",48,Pnc,Pnc,,","
326,49,1,fors,fors,49,PrA,PrA,C/V\,hors
327,49,2,nos,nos,49,Det,Det,C/V\,notre
328,49,3,prestre,prestre,49,N,N,'C/V\.C/(e)\,prêtre
329,49,4,sire,sire,49,N,N,'C/V\.C/(e)\,sire
330,49,5,gautier,gautier,49,N,N,C/V\.'C/V\,Gauthier
331,49,6,:,:,49,Pnc,Pnc,,:
332,50,1,a,a,50,Vfin,Vfin,/V\,avoir
333,50,2,deus,deus,50,QIs,QIs,C/V\,deux
334,50,3,tonneaus,tonneaus,50,N,N,C/V\.'C/V\,tonneau
335,50,4,en,en,50,Pre,Pre,/V\,en
336,50,5,son,son,50,Det,Det,C/V\,son
337,50,6,chantier,chantier,50,N,N,C/V\.'C/V\,chantier
338,50,7,",",",",50,Pnc,Pnc,,","
339,51,1,qu',qu',51,Sub,Sub,C/\,que
340,51,2,il,il,51,Prn,Prn$,/V\,il
341,51,3,amena,amena,51,Vfin,Vfin,/V\.C/e\.'C/V\,amener
342,51,4,de,de,51,Pre,Pre,C/(e)\,de
343,51,5,nojentel,nojentel,51,N,N,C/V\.C/V\.'C/V\,Nogentel
344,51,6,.,.,51,Pnc,Pnc,,.
345,52,1,tor,tor,52,QIs,QIs,C/V\,tout
346,52,2,jors,jors,52,N,N,C/V\,jour
347,52,3,a,a,52,Vfin,Vfin,/V\,avoir
348,52,4,il,il,52,Prn,Prn%,/V\,il
349,52,5,vin,vin,52,N,N,C/V\,vin
350,52,6,en,en,52,Pre,Pre,/V\,en
351,52,7,tonel,tonel,52,N,N,C/V\.'C/V\,tonneau
352,52,8,:,:,52,Pnc,Pnc,,:
353,53,1,alez,alez,53,Vfin,Vfin,/V\.'C/V\,aller
354,53,2,avec,avec,53,PrA,PrA,/V\.'C/V\,avec
355,53,3,li,li,53,Prn,Prn,C/V\,li
356,53,4,ostel,ostel,53,N,N,/V\.'C/V\,hôtel
357,53,5,prendre,prendre,53,Vinf,Vinf,'C/V\.C/(e)\,prendre
358,53,6,!,!,53,Pnc,Pnc,,!
359,54,1,-,-,54,Pnc,Pnc,,-
360,54,2,dame,dame,54,N,N,'C/V\.C/(e)\,dame
361,54,3,",",",",54,Pnc,Pnc,,","
362,54,4,g',g',54,Prn,Prn$,C/\,je
363,54,5,irai,irai,54,Vfin,Vfin,/V\.'C/V\,aller
364,54,6,sans,sans,54,Pre,Pre,C/V\,sans
365,54,7,plus,plus,54,Adv,Adv,C/V\,plus
366,54,8,atendre,atendre,54,Vinf,Vinf,/V\.'C/V\.C/(e)\,attendre
367,54,9,",",",",54,Pnc,Pnc,,","
368,55,1,dist,dist,55,Vfin,Vfin,C/V\,dire
369,55,2,le,le,55,Det,Det,C/(e)\,le
370,55,3,bouchier,bouchier,55,N,N,C/V\.'C/V\,boucher
371,55,4,",",",",55,Pnc,Pnc,,","
372,55,5,et,et,55,Crd,Crd,/V\,et
373,55,6,deus,deus,55,N,N,C/V\,dieu
374,55,7,vos,vos,55,Prn,Prn$$,C/V\,vous
375,55,8,saut,saut,55,Vfin,Vfin,C/V\,sauver
376,55,9,!,!,55,Pnc,Pnc,,!
377,56,1,-,-,56,Pnc,Pnc,,-
378,56,2,a,a,56,Pre,Pre,/V\,à
379,56,3,foi,foi,56,N,N,C/V\,foi
380,56,4,",",",",56,Pnc,Pnc,,","
381,56,5,sire,sire,56,N,N,'C/V\.C/(e)\,sire
382,56,6,",",",",56,Pnc,Pnc,,","
383,56,7,dieus,dieus,56,N,N,C/V\,dieu
384,56,8,vos,vos,56,Prn,Prn$$,C/V\,vous
385,56,9,consaut,consaut,56,Vfin,Vfin,C/V\.'C/V\,conseiller
386,56,10,.,.,56,Pnc,Pnc,,.
387,56,11,"""","""",56,Pnc,Pnc,,""""
388,57,1,le,le,57,Det,Det,C/(e)\,le
389,57,2,deans,deans,57,N,N,C/(V)\.'/V\,déan
390,57,3,se,se,57,Prn,Prn$$,C/(e)\,se
391,57,4,siet,siet,57,Vfin,Vfin,C/V\,seoir
392,57,5,sus,sus,57,PrA,PrA,C/V\,sus
393,57,6,son,son,57,Det,Det,C/V\,son
394,57,7,sueil,sueil,57,N,N,C/V\,seuil
395,57,8,",",",",57,Pnc,Pnc,,","
396,58,1,qui,qui,58,Qux,Qux,C/V\,qui
397,58,2,molt,molt,58,QIs,QIs,C/V\,moult
398,58,3,avoit,avoit,58,Vfin,Vfin,/V\.'C/V\,avoir
399,58,4,coilli,coilli,58,Vpp,Vpp,C/V\.'C/V\,cueillir
400,58,5,d',d',58,Pre,Pre,C/\,de
401,58,6,orgueil,orgueil,58,N,N,/V\.'C/V\,orgueil
402,58,7,.,.,58,Pnc,Pnc,,.
403,59,1,il,il,59,Prn,Prn$,/V\,il
404,59,2,le,le,59,Prn,Prn$$,C/(e)\,le
