wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,ref
233,38,6,;,;,38,PON,Pnc,Pnc,;,,"JPriorat, v. 38"
234,39,1,encor,encor,39,ADV,Adv,Adv,encore,/V\.'C/V\,"JPriorat, v. 39"
235,39,2,done,done,39,VER:pres:3:sg,Vfin,Vfin,donner,'C/V\.C/(e)\,"JPriorat, v. 39"
236,39,3,il,il,39,PRO:pers:suj:3:masc:sg:unb,Prn,Prn%,il,/V\,"JPriorat, v. 39"
237,39,4,comandemanz,comandemanz,39,NOM:obj:masc:pl,N,N,commandement,C/V\.C/V\.C/e\.'C/V\,"JPriorat, v. 39"
238,40,1,das,das,40,PREDET:de:obj:femi:pl,Pre+Det,Pre+Det,de.le,C/V\,"JPriorat, v. 40"
239,40,2,choses,choses,40,NOM:obj:femi:pl,N,N,chose,'C/V\.C/e\,"JPriorat, v. 40"
240,40,3,et,et,40,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 40"
241,40,4,das,das,40,PREDET:de:obj:masc:pl,Pre+Det,Pre+Det,de.le,C/V\,"JPriorat, v. 40"
242,40,5,estrumanz,estrumanz,40,NOM:obj:masc:pl,N,N,estrument,/V\.C/V\.'C/V\,"JPriorat, v. 40"
243,41,1,que,que,41,PROCON,Qux,Qux,que,C/(e)\,"JPriorat, v. 41"
244,41,2,il,il,41,PRO:pers:suj:3:masc:sg:unb,Prn,Prn$,il,/V\,"JPriorat, v. 41"
245,41,3,covient,covient,41,VER:pres:3:sg,Vfin,Vfin,convenir,C/V\.'C/V\,"JPriorat, v. 41"
