wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
247,33,1,le,le,33,Det,Det,C/(e)\,le,"ChrPisTroisJug, v. 33"
248,33,2,premier,premier,33,Adj,Adj,C/V\.C/<V>\.'/V\,premier,"ChrPisTroisJug, v. 33"
249,33,3,cas,cas,33,N,N,C/V\,cas,"ChrPisTroisJug, v. 33"
250,33,4,",",",",33,Pnc,Pnc,,",","ChrPisTroisJug, v. 33"
251,33,5,ainsi,ainsi,33,Adv,Adv,/V\.'C/V\,ainsi,"ChrPisTroisJug, v. 33"
252,33,6,comme,comme,33,Sub,Sub,'C/V\.C/(e)\,comme,"ChrPisTroisJug, v. 33"
253,33,7,j',j',33,Prn,Prn$,C/\,je,"ChrPisTroisJug, v. 33"
254,33,8,oy,oy,33,Vfin,Vfin,/V\,ouïr,"ChrPisTroisJug, v. 33"
255,33,9,dire,dire,33,Vinf,Vinf,'C/V\.C/(e)\,dire,"ChrPisTroisJug, v. 33"
256,33,10,",",",",33,Pnc,Pnc,,",","ChrPisTroisJug, v. 33"
257,34,1,fu,fu,34,Vfin,Vfin,C/V\,être,"ChrPisTroisJug, v. 34"
258,34,2,tel,tel,34,Adj,Adj,C/V\,tel,"ChrPisTroisJug, v. 34"
259,34,3,qu',qu',34,Sub,Sub,C/\,que,"ChrPisTroisJug, v. 34"
260,34,4,il,il,34,Prn,Prn$,/V\,il,"ChrPisTroisJug, v. 34"
261,34,5,a,a,34,Vfin,Vfin,/V\,avoir,"ChrPisTroisJug, v. 34"
262,34,6,en,en,34,Pre,Pre,/V\,en,"ChrPisTroisJug, v. 34"
263,34,7,france,france,34,N,N,'C/V\.C/(e)\,France,"ChrPisTroisJug, v. 34"
264,34,8,ou,ou,34,Crd,Crd,/V\,ou,"ChrPisTroisJug, v. 34"
265,34,9,en,en,34,Pre,Pre,/V\,en,"ChrPisTroisJug, v. 34"
266,34,10,l',l',34,Det,Det,C/\,le,"ChrPisTroisJug, v. 34"
267,34,11,empire,empire,34,N,N,/V\.'C/V\.C/(e)\,empire,"ChrPisTroisJug, v. 34"
268,35,1,une,une,35,QIs,QIs,'/V\.C/(e)\,un,"ChrPisTroisJug, v. 35"
