wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,ref
126,20,2,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 20"
127,20,3,alons,alons,Vfin,Vfin,aller,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 20"
128,20,4,;,;,Pnc,Pnc,;,,"MirNDPers, Miracle de la nonne, v. 20"
129,20,5,j',j',Prn,Prn$,je,C/\,"MirNDPers, Miracle de la nonne, v. 20"
130,20,6,ay,ay,Vfin,Vfin,avoir,/V\,"MirNDPers, Miracle de la nonne, v. 20"
131,20,7,le,le,Det,Det,le,C/(e)\,"MirNDPers, Miracle de la nonne, v. 20"
132,20,8,cuer,cuer,N,N,coeur,C/V\,"MirNDPers, Miracle de la nonne, v. 20"
133,20,9,tendant,tendant,Vprs,Vprs,tendre,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 20"
134,21,1,a,a,Pre,Pre,à,/V\,"MirNDPers, Miracle de la nonne, v. 21"
135,21,2,faire,faire,Vinf,Vinf,faire,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 21"
136,21,3,vostre,vostre,Det,Det,votre,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 21"
137,21,4,voulenté,voulenté,N,N,volonté,C/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 21"
138,21,5,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 21"
139,22,1,or,or,Adv,Adv,or2,/V\,"MirNDPers, Miracle de la nonne, v. 22"
140,22,2,sa,sa,Adv,Adv,çà,C/V\,"MirNDPers, Miracle de la nonne, v. 22"
141,22,3,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 22"
142,22,4,de,de,Pre,Pre,de,C/(e)\,"MirNDPers, Miracle de la nonne, v. 22"
143,22,5,par,par,Pre,Pre,par,C/V\,"MirNDPers, Miracle de la nonne, v. 22"
144,22,6,la,la,Det,Det,le,C/V\,"MirNDPers, Miracle de la nonne, v. 22"
145,22,7,trinité,trinité,N,N,trinité,C/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 22"
146,23,1,seez,seez,Vfin,Vfin,seoir,C/(V)\.'/V\,"MirNDPers, Miracle de la nonne, v. 23"
147,23,2,vous,vous,Prn,Prn%%,vous,C/V\,"MirNDPers, Miracle de la nonne, v. 23"
148,23,3,ci,ci,Adv,Adv,ci,C/V\,"MirNDPers, Miracle de la nonne, v. 23"
149,23,4,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 23"
150,24,1,c',c',Prn,Prn,ce,C/\,"MirNDPers, Miracle de la nonne, v. 24"
151,24,2,est,est,Vfin,Vfin,être,/V\,"MirNDPers, Miracle de la nonne, v. 24"
152,24,3,fait,fait,Vpp,Vpp,faire,C/V\,"MirNDPers, Miracle de la nonne, v. 24"
153,24,4,;,;,Pnc,Pnc,;,,"MirNDPers, Miracle de la nonne, v. 24"
154,24,5,or,or,Adv,Adv,or2,/V\,"MirNDPers, Miracle de la nonne, v. 24"
155,24,6,vous,vous,Prn,Prn$$,vous,C/V\,"MirNDPers, Miracle de la nonne, v. 24"
156,24,7,seez,seez,Vfin,Vfin,seoir,C/(V)\.'/V\,"MirNDPers, Miracle de la nonne, v. 24"
157,24,8,aussi,aussi,Adv,Adv,aussi,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 24"
158,25,1,decoste,decoste,PrA,PrA,decoste,C/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 25"
159,25,2,moy,moy,Prn,Prn,moi,C/V\,"MirNDPers, Miracle de la nonne, v. 25"
160,25,3,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 25"
161,26,1,dame,dame,N,N,dame,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 26"
162,26,2,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 26"
163,26,3,voulentiers,voulentiers,Adv,Adv,volentiers,C/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 26"
164,26,4,;,;,Pnc,Pnc,;,,"MirNDPers, Miracle de la nonne, v. 26"
165,26,5,quant,quant,Sub,Sub,quand,C/V\,"MirNDPers, Miracle de la nonne, v. 26"
166,26,6,a,a,Pre,Pre,à,/V\,"MirNDPers, Miracle de la nonne, v. 26"
167,26,7,moy,moy,Prn,Prn,moi,C/V\,"MirNDPers, Miracle de la nonne, v. 26"
168,26,8,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 26"
169,27,1,je,je,Prn,Prn$,je,C/(e)\,"MirNDPers, Miracle de la nonne, v. 27"
170,27,2,sui,sui,Vfin,Vfin,être,C/V\,"MirNDPers, Miracle de la nonne, v. 27"
171,27,3,assise,assise,Vpp,Vpp,asseoir,/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 27"
172,27,4,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 27"
173,28,1,et,et,Crd,Crd,et,/V\,"MirNDPers, Miracle de la nonne, v. 28"
174,28,2,vezcy,vezcy,NVP,NVP,voici,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 28"
175,28,3,pour,pour,Pre,Pre,pour,C/V\,"MirNDPers, Miracle de la nonne, v. 28"
176,28,4,moy,moy,Prn,Prn,moi,C/V\,"MirNDPers, Miracle de la nonne, v. 28"
177,28,5,place,place,N,N,place,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 28"
178,28,6,prise,prise,Vpp,Vpp,prendre,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 28"
179,28,7,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 28"
180,29,1,je,je,Prn,Prn$,je,C/(e)\,"MirNDPers, Miracle de la nonne, v. 29"
181,29,2,lo,lo,Vfin,Vfin,louer,C/(e)\,"MirNDPers, Miracle de la nonne, v. 29"
182,29,3,qu',qu',Sub,Sub,que,C/\,"MirNDPers, Miracle de la nonne, v. 29"
183,29,4,ataingnons,ataingnons,Vfin,Vfin,atteindre,/V\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 29"
184,29,5,noz,noz,Det,Det,notre,C/V\,"MirNDPers, Miracle de la nonne, v. 29"
185,29,6,sautiers,sautiers,N,N,psautier,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 29"
186,30,1,et,et,Crd,Crd,et,/V\,"MirNDPers, Miracle de la nonne, v. 30"
187,30,2,disons,disons,Vfin,Vfin,dire,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 30"
188,30,3,prime,prime,Adv,Adv,primes,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 30"
189,30,4,endementiers,endementiers,Adv,Adv,endementiers,/V\.C/e\.C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 30"
190,31,1,que,que,Sub,Sub,que,C/(e)\,"MirNDPers, Miracle de la nonne, v. 31"
191,31,2,l',l',Prn,Prn$$,le,C/\,"MirNDPers, Miracle de la nonne, v. 31"
