wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,tei_notes
2468,382,1,que,que,PROCON,547,Crd,Crd,que,C/(e)\,
2469,382,2,ne,ne,PRO:clit,547,Neg,Neg$$,ne,C/(e)\,
2470,382,3,gart,gart,VER:subp:1:sg,547,Vfin,Vfin,garder,C/V\,
2471,382,4,l',l',DET:def:obj:femi:sg,547,Det,Det,le,C/\,
2472,382,5,eure,eure,NOM:obj:femi:sg,547,N,N,heure,'/V\.C/(e)\,
2473,382,6,qu,qu,PROCON,547,Qux,Qux,que,C/\,
2474,382,7,asproier,asproier,VER:infi,547,Vinf,Vinf,âproyer,/V\.C/V\.'C/V\,
2475,383,1,me,me,PRO:pers:obj:1:sg:unb,548,Prn,Prn$$,me,C/(e)\,
2476,383,2,viengne,viengne,VER:subp:3:sg,548,Vfin,Vfin,venir,'C/V\.C/(e)\,
2477,383,3,cil,cil,PRO:demo:suj:masc:sg,548,Dem,Dem,cil,C/V\,
2478,384,1,qui,qui,PROCON,549,Qux,Qux,qui,C/V\,
2479,384,2,m',m',PRO:pers:obj:1:sg:unb,549,Prn,Prn$$,me,C/\,
2480,384,3,as,as,VER:pres:2:sg,549,Vfin,Vfin,avoir,/V\,
2481,384,4,mis,mis,VER:pper:masc:sg,549,Vpp,Vpp,mettre,C/V\,
2482,384,5,a,a,PRE,549,Pre,Pre,à,/V\,
2483,384,6,si,si,PROCON,549,Adv,Adv,si4,C/V\,
2484,384,7,grant,grant,ADJ:obj:masc:sg,549,Adj,Adj,grand,C/V\,
2485,384,8,escil,escil,NOM:obj:masc:sg,549,N,N,exil,/V\.'C/V\,
2486,384,9,.,.,PON,549,Pnc,Pnc,.,,
2487,385,1,tu,tu,PRO:pers:suj:2:sg:unb,550,Prn,Prn$,tu,C/V\,
2488,385,2,me,me,PRO:pers:obj:1:sg:unb,550,Prn,Prn$$,me,C/(e)\,
2489,385,3,tenis,tenis,VER:simp:2:sg,550,Vfin,Vfin,tenir,C/V\.'C/V\,
