wd_id,line_id,linewd,word,lex_id,lemma,textlineid,syntag,syntag2,syllabified,ref
163,25,5,crestiienté,crestiienté,chrétienté,5543,N,N,C/V\.C/V\.C/V\.'C/V\,"GautArrEr, v. 5543"
164,25,6,",",",",",",5543,Pnc,Pnc,,"GautArrEr, v. 5543"
165,26,1,mais,mais,mais,5544,Crd,Crd,C/V\,"GautArrEr, v. 5544"
166,26,2,n',n',ne,5544,Neg,Neg$$,C/\,"GautArrEr, v. 5544"
167,26,3,iert,iert,être,5544,Vfin,Vfin,/V\,"GautArrEr, v. 5544"
168,26,4,mie,mie,mie,5544,Neg,Neg,'C/V\./(e)\,"GautArrEr, v. 5544"
169,26,5,a,a,à,5544,Pre,Pre,/V\,"GautArrEr, v. 5544"
170,26,6,te,te,ton,5544,Det,Det,C/(e)\,"GautArrEr, v. 5544"
171,26,7,volenté,volenté,volonté,5544,N,N,C/V\.C/V\.'C/V\,"GautArrEr, v. 5544"
172,26,8,!,!,!,5544,Pnc,Pnc,,"GautArrEr, v. 5544"
173,27,1,tu,tu,tu,5545,Prn,Prn$,C/V\,"GautArrEr, v. 5545"
174,27,2,penses,penses,penser,5545,Vfin,Vfin,'C/V\.C/e\,"GautArrEr, v. 5545"
175,27,3,un,un,un,5545,QIs,QIs,/V\,"GautArrEr, v. 5545"
176,27,4,et,et,et,5545,Crd,Crd,/V\,"GautArrEr, v. 5545"
177,27,5,il,il,il,5545,Prn,Prn$,/V\,"GautArrEr, v. 5545"
178,27,6,pense,pense,penser,5545,Vfin,Vfin,'C/V\.C/(e)\,"GautArrEr, v. 5545"
179,27,7,el,el,el,5545,Prn,Prn,/V\,"GautArrEr, v. 5545"
180,27,8,",",",",",",5545,Pnc,Pnc,,"GautArrEr, v. 5545"
181,28,1,sel,sel,si.le,5546,Adv+Prn,Adv+Prn$$,C/V\,"GautArrEr, v. 5546"
182,28,2,comperont,comperont,comparer,5546,Vfin,Vfin,C/V\.C/e\.'C/V\,"GautArrEr, v. 5546"
183,28,3,ne,ne,ne,5546,Neg,Neg$$,C/(e)\,"GautArrEr, v. 5546"
184,28,4,sai,sai,savoir,5546,Vfin,Vfin,C/V\,"GautArrEr, v. 5546"
185,28,5,li,li,le,5546,Det,Det,C/V\,"GautArrEr, v. 5546"
186,28,6,quel,quel,quel,5546,Qux,Qux,C/V\,"GautArrEr, v. 5546"
187,28,7,.,.,.,5546,Pnc,Pnc,,"GautArrEr, v. 5546"
188,29,1,ensi,ensi,ainsi,5547,Adv,Adv,/V\.'C/V\,"GautArrEr, v. 5547"
189,29,2,me,me,me,5547,Prn,Prn$$,C/(e)\,"GautArrEr, v. 5547"
190,29,3,face,face,faire,5547,Vfin,Vfin,'C/V\.C/(e)\,"GautArrEr, v. 5547"
191,29,4,dius,dius,Dieu,5547,N,N,C/V\,"GautArrEr, v. 5547"
192,29,5,merci,merci,merci,5547,N,N,C/V\.'C/V\,"GautArrEr, v. 5547"
193,29,6,",",",",",",5547,Pnc,Pnc,,"GautArrEr, v. 5547"
194,30,1,se,se,si,5548,Sub,Sub,C/(e)\,"GautArrEr, v. 5548"
195,30,2,il,il,il,5548,Prn,Prn,/V\,"GautArrEr, v. 5548"
196,30,3,trouvé,trouvé,trouver,5548,Vpp,Vpp,C/V\.'C/V\,"GautArrEr, v. 5548"
197,30,4,ne,ne,ne,5548,Neg,Neg$$,C/(e)\,"GautArrEr, v. 5548"
198,30,5,t',t',te,5548,Prn,Prn$$,C/\,"GautArrEr, v. 5548"
199,30,6,eust,eust,avoir,5548,Vfin,Vfin,/(V)\.'/V\,"GautArrEr, v. 5548"
200,30,7,ci,ci,ci,5548,Adv,Adv,C/V\,"GautArrEr, v. 5548"
201,30,8,",",",",",",5548,Pnc,Pnc,,"GautArrEr, v. 5548"
202,31,1,tant,tant,tant,5549,QIs,QIs,C/V\,"GautArrEr, v. 5549"
