wd_id,word,lex_id,tag,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
2147,bien,bien,ADV,630,Adv,Adv,bien,C/V\,ADV,bien,10
2148,k',k',PROCON,630,Sub,Sub,que,C/\,SCONJ,que,10
2149,il,il,PRO:pers,630,Prn,Prn$,il,/V\,PRON,il,10
2150,ne,ne,PRO:clit,630,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
2151,pueent,pueent,VER,630,Vfin,Vfin,pouvoir2,'C/V\./e\,VERB,pouvoir,10
2152,par,par,PRE,630,Pre,Pre,par,C/V\,ADP,par,10
2153,raison,raison,NOM,630,N,N,,C/V\.'C/V\,NOUN,raison,8
2154,faire,faire,VER,630,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
2155,force,force,NOM,630,N,N,,'C/V\.C/(e)\,NOUN,force,3
2156,de,de,PRE,630,Pre,Pre,de,C/(e)\,ADP,de,10
2157,bataille,bataille,NOM,631,N,N,,C/V\.'C/V\.C/(e)\,NOUN,bataille,8
2158,au,au,PREDET:a,631,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
2159,cevalier,cevalier,NOM,631,N,N,,C/V\.C/V\.'C/V\,NOUN,chevalier,9
2160,du,du,PREDET:de,631,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
2161,pont,pont,NOM,631,N,N,,C/V\,NOUN,pont,8
2162,",",",",PON,631,Pnc,Pnc,,,PUNCT,",",9
2163,il,il,PRO:pers,631,Prn,Prn$,il,/V\,PRON,il,10
2164,s',s',PRO:pers,631,Prn,Prn$$,se,C/\,PRON,se,10
2165,en,en,PRO:clit,631,Prn,Prn$$,en2,/V\,PRON,en,10
2166,vont,vont,VER,631,Vfin,Vfin,aller,C/V\,VERB,aller,10
2167,outre,outre,ADV,631,PrA,PrA,outre2,'/V\.C/(e)\,ADV,outre,10
2168,entr',entr',PRE,631,PrA,PrA,entre,/V\,ADP,entre,10
2169,aus,aus,PRO:pers,631,Prn,Prn,eux,/V\,PRON,eux,10
2170,et,et,CON:coord,631,Crd,Crd,et,/V\,CCONJ,et,10
2171,lour,lour,DET:poss,632,Det,Det,leur2,C/V\,DET,leur,10
2172,esquiers,esquiers,NOM,632,N,N,,/V\.'C/V\,NOUN,écuyer,9
