wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
189,32,2,venir,venir,2632,Vinf,Vinf,venir,7s,---,C/V\.'C/V\,VERB,venir,10
190,32,3,a,a,2632,Pre,Pre,à,7s,---,/V\,ADP,à,10
191,32,4,garison,garison,2632,N,N,,7s,---,C/V\.C/V\.'C/V\,NOUN,guérison,3
192,32,5,.,.,2632,Pnc,Pnc,,7s,---,,PUNCT,.,9
193,33,1,vo,vo,2633,Det,Det,votre,7s,---,C/V\,DET,votre,10
194,33,2,bouce,bouce,2633,N,N,,7s,---,'C/V\.C/(e)\,NOUN,bouche,9
195,33,3,a,a,2633,Pre,Pre,à,7s,---,/V\,ADP,à,10
196,33,4,dire,dire,2633,Vinf,Vinf,dire,7s,---,'C/V\.C/(e)\,VERB,dire,10
197,33,5,ne,ne,2633,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
198,33,6,fine,fine,2633,Vfin,Vfin,finer,7s,---,'C/V\.C/(e)\,VERB,finer,10
199,34,1,que,que,2634,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
200,34,2,ja,ja,2634,Adv,Adv,jà,7s,---,C/V\,ADV,jà,10
201,34,3,n',n',2634,Neg,Neg,ne,7s,---,C/\,ADV,ne,10
202,34,4,arai,arai,2634,Vfin,Vfin,avoir,7s,---,/V\.'C/V\,VERB,avoir,10
203,34,5,se,se,2634,Sub,Sub,si3,7s,---,C/(e)\,SCONJ,si,10
204,34,6,mal,mal,2634,N,N,mal,7s,---,C/V\,NOUN,mal,10
205,34,7,non,non,2634,NVP,NVP,non,7s,---,C/V\,ADV,non,10
206,35,1,et,et,2635,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
207,35,2,que,que,2635,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
208,35,3,tout,tout,2635,QIs,QIs,tout,7s,---,C/V\,ADV,tout,10
209,35,4,perc,perc,2635,Vfin,Vfin,perdre,7s,---,C/V\,VERB,perdre,10
210,35,5,mon,mon,2635,Det,Det,mon,7s,---,C/V\,DET,mon,10
211,35,6,sarmon,sarmon,2635,N,N,,7s,---,C/V\.'C/V\,NOUN,sermon,5
212,35,7,:,:,2635,Pnc,Pnc,,7s,---,,PUNCT,:,9
213,36,1,bien,bien,2636,Adv,Adv,bien,7s,---,C/V\,ADV,bien,10
214,36,2,samlés,samlés,2636,Vfin,Vfin,sembler,7s,---,C/V\.'C/V\,VERB,sembler,10
215,36,3,estre,estre,2636,Vinf,Vinf,être,7s,---,'/V\.C/(e)\,VERB,être,10
216,36,4,devine,devine,2636,Adj,Adj,,7s,---,C/V\.'C/V\.C/(e)\,ADJ,divin,8
217,36,5,.,.,2636,Pnc,Pnc,,7s,---,,PUNCT,.,9
218,37,1,vous,vous,2637,Prn,Prn$,vous,7s,---,C/V\,PRON,vous,10
219,37,2,faites,faites,2637,Vfin,Vfin,faire,7s,---,'C/V\.C/e\,VERB,faire,10
220,37,3,capel,capel,2637,N,N,,7s,---,C/V\.'C/V\,NOUN,chapeau,9
221,37,4,d',d',2637,Pre,Pre,de,7s,---,C/\,ADP,de,10
222,37,5,espine,espine,2637,N,N,,7s,---,/V\.'C/V\.C/(e)\,NOUN,épine,8
223,37,6,",",",",2637,Pnc,Pnc,,7s,---,,PUNCT,",",9
224,38,1,s',s',2638,Adv,Adv,si4,7s,---,C/\,ADV,si,10
225,38,2,ostés,ostés,2638,Vfin,Vfin,ôter,7s,---,/V\.'C/V\,VERB,ôter,10
226,38,3,le,le,2638,Det,Det,le,7s,---,C/(e)\,DET,le,10
227,38,4,vermail,vermail,2638,Adj,Adj,,7s,---,C/V\.'C/V\,ADJ,vermeil,9
228,38,5,bouton,bouton,2638,N,N,,7s,---,C/V\.'C/V\,NOUN,bouton,8
229,39,1,ki,ki,2639,Qux,Qux,qui,7s,---,C/V\,PRON,qui,10
230,39,2,miex,miex,2639,Adv,Adv,mieux,7s,---,C/V\,ADV,mieux,10
231,39,3,vaut,vaut,2639,Vfin,Vfin,valoir,7s,---,C/V\,VERB,valoir,10
232,39,4,—,—,2639,Pnc,Pnc,,7s,---,,PUNCT,—,9
233,39,5,esgardés,esgardés,2639,Vfin,Vfin,égarder,7s,---,/V\.C/V\.'C/V\,VERB,égarder,10
234,39,6,mon,mon,2639,Adv,Adv,mon2,7s,---,C/V\,ADV,mon,10
235,39,7,!,!,2639,Pnc,Pnc,,7s,---,,PUNCT,!,9
236,39,8,—,—,2639,Pnc,Pnc,,7s,---,,PUNCT,—,8
237,40,1,comme,comme,2640,Sub,Sub,comme,7s,---,'C/V\.C/(e)\,SCONJ,comme,10
238,40,2,cil,cil,2640,Dem,Dem,cil,7s,---,C/V\,PRON,cil,10
239,40,3,qui,qui,2640,Qux,Qux,qui,7s,---,C/V\,PRON,qui,10
240,40,4,l',l',2640,Det,Det,le,7s,---,C/\,DET,le,10
241,40,5,or,or,2640,N,N,,7s,---,/V\,NOUN,or,8
242,40,6,afine,afine,2640,Vfin,Vfin,affiner,7s,---,/V\.'C/V\.C/(e)\,VERB,affiner,10
243,41,1,laist,laist,2641,Vfin,Vfin,laisser,7s,---,C/V\,VERB,laisser,10
244,41,2,l',l',2641,Det,Det,le,7s,---,C/\,DET,le,10
245,41,3,ort,ort,2641,Adj,Adj,,7s,---,/V\,ADJ,ord,8
246,41,4,et,et,2641,Crd,Crd,et,7s,---,/V\,CCONJ,et,10
247,41,5,retient,retient,2641,Vfin,Vfin,retenir,7s,---,C/V\.'C/V\,VERB,retenir,10
248,41,6,le,le,2641,Det,Det,le,7s,---,C/(e)\,DET,le,10
249,41,7,bon,bon,2641,Adj,Adj,bon,7s,---,C/V\,ADJ,bon,10
250,41,8,.,.,2641,Pnc,Pnc,,7s,---,,PUNCT,.,9
251,42,1,je,je,2642,Prn,Prn$,je,7s,---,C/(e)\,PRON,je,10
252,42,2,nel,nel,2642,Neg+Prn,Neg+Prn$$,ne.le,7s,---,C/V\,ADV.PRON,ne.le,10
253,42,3,di,di,2642,Vfin,Vfin,dire,7s,---,C/V\,VERB,dire,10
254,42,4,pas,pas,2642,Neg,Neg,pas,7s,---,C/V\,ADV,pas,10
255,42,5,pour,pour,2642,Pre,Pre,pour,7s,---,C/V\,ADP,pour,10
256,42,6,haine,haine,2642,N,N,,7s,---,C/(V)\.'/V\.C/(e)\,NOUN,haine,9
257,43,1,ne,ne,2643,Crd,Crd,ne2,7s,---,C/(e)\,CCONJ,ne,10
258,43,2,pour,pour,2643,Pre,Pre,pour,7s,---,C/V\,ADP,pour,10
259,43,3,nule,nule,2643,QIs,QIs,nul,7s,---,'C/V\.C/(e)\,DET,nul,10
260,43,4,sospeçon,sospeçon,2643,N,N,,7s,---,C/V\.C/e\.'C/V\,NOUN,soupçon,9
261,43,5,;,;,2643,Pnc,Pnc,,7s,---,,PUNCT,;,9
262,44,1,mais,mais,2644,Crd,Crd,mais,7s,---,C/V\,CCONJ,mais,10
263,44,2,gaitiés,gaitiés,2644,Vfin,Vfin,guetter,7s,---,C/V\.'C/V\,VERB,guetter,10
264,44,3,vous,vous,2644,Prn,Prn%%,vous,7s,---,C/V\,PRON,vous,10
265,44,4,dou,dou,2644,Pre+Det,Pre+Det,de.le,7s,---,C/V\,ADP.DET,de.le,10
266,44,5,sourgon,sourgon,2644,N,N,,7s,---,C/V\.'C/V\,NOUN,surgeon,6
267,45,1,que,que,2645,Sub,Sub,que,7s,---,C/(e)\,SCONJ,que,10
268,45,2,vous,vous,2645,Prn,Prn$,vous,7s,---,C/V\,PRON,vous,10
269,45,3,n',n',2645,Neg,Neg,ne,7s,---,C/\,ADV,ne,10
270,45,4,i,i,2645,Prn,Prn$$,y2,7s,---,/V\,PRON,y,10
271,45,5,caés,caés,2645,Vfin,Vfin,choir,7s,---,C/V\.'C/V\,VERB,choir,10
272,45,6,souvine,souvine,2645,Adj,Adj,,7s,---,C/V\.'C/V\.C/(e)\,ADJ,souvin,8
273,45,7,.,.,2645,Pnc,Pnc,,7s,---,,PUNCT,.,9
274,46,1,jalousie,jalousie,2646,N,N,,7s,---,C/V\.C/V\.'C/V\./(e)\,NOUN,jalousie,9
275,46,2,est,est,2646,Vfin,Vfin,être,7s,---,/V\,VERB,être,10
276,46,3,me,me,2646,Det,Det,mon,7s,---,C/(e)\,DET,mon,10
277,46,4,voisine,voisine,2646,N,N,,7s,---,C/V\.'C/V\.C/(e)\,NOUN,voisine,3
278,46,5,",",",",2646,Pnc,Pnc,,7s,---,,PUNCT,",",9
279,47,1,par,par,2647,Pre,Pre,par,7s,---,C/V\,ADP,par,10
280,47,2,coi,coi,2647,Qux,Qux,que,7s,---,C/V\,PRON,que,10
281,47,3,en,en,2647,Pre,Pre,en,7s,---,/V\,ADP,en,10
282,47,4,vostre,vostre,2647,Det,Det,votre,7s,---,'C/V\.C/(e)\,DET,votre,10
283,47,5,occoison,occoison,2647,N,N,,7s,---,/V\.C/V\.'C/V\,NOUN,ochaison,3
284,48,1,me,me,2648,Prn,Prn$$,me,7s,---,C/(e)\,PRON,me,10
285,48,2,fait,fait,2648,Vfin,Vfin,faire,7s,---,C/V\,VERB,faire,10
286,48,3,dire,dire,2648,Vinf,Vinf,dire,7s,---,'C/V\.C/(e)\,VERB,dire,10
287,48,4,desraison,desraison,2648,N,N,,7s,---,C/V\.C/V\.'C/V\,NOUN,déraison,9
288,48,5,",",",",2648,Pnc,Pnc,,7s,---,,PUNCT,",",9
289,49,1,si,si,2649,Adv,Adv,si4,7s,---,C/V\,ADV,si,10
290,49,2,m',m',2649,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
291,49,3,en,en,2649,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
292,49,4,dounés,dounés,2649,Vfin,Vfin,donner,7s,---,C/V\.'C/V\,VERB,donner,10
