wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1155,',',PON:cit,28,Pnc,Pnc,,,PUNCT,',9
1156,tant,tant,ADV,28,QIs,QIs,tant,C/V\,ADV,tant,10
1157,comme,comme,CON:subord,28,Sub,Sub,comme,'C/V\.C/(e)\,SCONJ,comme,10
1158,je,je,PRO:pers:suj:1:sg:unb,28,Prn,Prn$,je,C/(e)\,PRON,je,10
1159,puis,puis,VER:pres:1:sg,28,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
1160,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1161,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1162,vous,vous,PRO:pers:2:pl,28,Prn,Prn$,vous,C/V\,PRON,vous,10
1163,metés,metés,VER:subp:2:pl,28,Vfin,Vfin,mettre,C/V\.'C/V\,VERB,mettre,10
1164,votre,votre,DET:poss:obj:masc:sg,28,Det,Det,votre,'C/V\.C/(e)\,DET,votre,10
1165,cuer,cuer,NOM:obj:masc:sg,28,N,N,,C/V\,NOUN,coeur,3
1166,a,a,PRE,28,Pre,Pre,à,/V\,ADP,à,10
1167,ce,ce,PRO:invar,28,Prn,Prn,ce,C/(e)\,PRON,ce,10
1168,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1169,pour,pour,PRE,28,Pre,Pre,pour,C/V\,ADP,pour,10
1170,l,l',DET:def:obj:femi:sg,28,Det,Det,le,C/\,DET,le,10
1171,amour,amour,NOM:obj:femi:sg,28,N,N,,/V\.'C/V\,NOUN,amour,8
1172,de,de,PRE,28,Pre,Pre,de,C/(e)\,ADP,de,10
1173,dieu,dieu,NOM:obj:masc:sg,28,N,N,,C/V\,NOUN,dieu,3
1174,et,et,CON:coord,28,Crd,Crd,et,/V\,CCONJ,et,10
1175,de,de,PRE,28,Pre,Pre,de,C/(e)\,ADP,de,10
1176,moy,moy,PRO:pers:obj:1:sg:bet,28,Prn,Prn,moi,C/V\,PRON,moi,10
1177,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1178,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1179,vous,vous,PRO:pers:2:pl,28,Prn,Prn$,vous,C/V\,PRON,vous,10
1180,amissiez,amissiez,VER:subi:2:pl,28,Vfin,Vfin,aimer,/V\.C/V\.'C/V\,VERB,aimer,10
1181,miex,miex,ADV,28,Adv,Adv,mieux,C/V\,ADV,mieux,10
1182,que,que,PROCON,28,Sub,Sub,que,C/(e)\,SCONJ,que,10
1183,tout,tout,DET:ind:suj:masc:sg,28,QIs,QIs,tout,C/V\,DET,tout,10
1184,meschief,meschief,NOM:suj:masc:sg,28,N,N,,C/V\.'C/V\,NOUN,méchef,9
1185,avenit,avenit,VER:subi:3:sg,28,Vfin,Vfin,avenir,/V\.C/e\.'C/V\,VERB,avenir,10
1186,au,au,PREDET:a:obj:masc:sg,28,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
1187,cors,cors,NOM:obj:masc:sg,28,N,N,,C/V\,NOUN,corps,3
1188,",",",",PON,28,Pnc,Pnc,,,PUNCT,",",9
1189,de,de,PRE,28,Pre,Pre,de,C/(e)\,ADP,de,10
1190,meselerie,meselerie,NOM:obj:femi:sg,28,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\,NOUN,mésellerie,9
1191,et,et,CON:coord,28,Crd,Crd,et,/V\,CCONJ,et,10
1192,de,de,PRE,28,Pre,Pre,de,C/(e)\,ADP,de,10
1193,toute,toute,DET:ind:obj:femi:sg,28,QIs,QIs,tout,'C/V\.C/(e)\,DET,tout,10
1194,maladie,maladie,NOM:obj:femi:sg,28,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,maladie,8
