wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
180,30,5,profitaubles,profitaubles,30,ADJ:suj:femi:pl,Adj,Adj,,C/V\.C/V\.'C/V\.C/e\,ADJ,profitable,9
181,31,1,as,as,31,PREDET:a:obj:femi:pl,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
182,31,2,batailles,batailles,31,NOM:obj:femi:pl,N,N,,C/V\.'C/V\.C/e\,NOUN,bataille,8
183,31,3,et,et,31,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
184,31,4,a,a,31,PRE,Pre,Pre,à,/V\,ADP,à,10
185,31,5,la,la,31,DET:def:obj:femi:sg,Det,Det,le,C/V\,DET,le,10
186,31,6,guerre,guerre,31,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,guerre,8
187,32,1,c',c',32,PROCON,Qux,Qux,que,C/\,PRON,que,10
188,32,2,on,on,32,PRO:invar,Prn,Prn$,on,/V\,PRON,on,10
189,32,3,fait,fait,32,VER:pres:3:sg,Vfin,Vfin,faire,C/V\,VERB,faire,10
190,32,4,et,et,32,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
191,32,5,doit,doit,32,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10
192,32,6,faire,faire,32,VER:infi,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
193,32,7,per,per,32,PRE,Pre,Pre,par,C/V\,ADP,par,10
194,32,8,terre,terre,32,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,terre,8
195,32,9,.,.,32,PON,Pnc,Pnc,,,PUNCT,.,9
196,33,1,li,li,33,DET:def:suj:masc:sg,Det,Det,le,C/V\,DET,le,10
197,33,2,quarz,quarz,33,ADJ:ord:suj:masc:sg,Adj,Adj,quart,C/V\,ADJ,quart,10
198,33,3,livres,livres,33,NOM:suj:masc:sg,N,N,,'C/V\.C/e\,NOUN,livre,8
199,33,4,aprés,aprés,33,PRE,PrA,PrA,après,/V\.'C/V\,ADV,après,10
200,33,5,reconte,reconte,33,VER:pres:3:sg,Vfin,Vfin,raconter,C/V\.'C/V\.C/(e)\,VERB,raconter,10
201,34,1,chose,chose,34,NOM:obj:femi:sg,N,N,,'C/V\.C/(e)\,NOUN,chose,8
202,34,2,vraie,vraie,34,ADJ:obj:femi:sg,Adj,Adj,vrai,'C/V\./(e)\,ADJ,vrai,10
203,34,3,et,et,34,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
204,34,4,qui,qui,34,PROCON,Qux,Qux,qui,C/V\,PRON,qui,10
205,34,5,a,a,34,PRE,Pre,Pre,à,/V\,ADP,à,10
206,34,6,gros,gros,34,ADJ:obj:masc:sg,Adj,Adj,,C/V\,ADJ,gros,9
207,34,7,monte,monte,34,VER:pres:3:sg,Vfin,Vfin,monter,'C/V\.C/(e)\,VERB,monter,10
208,34,8,",",",",34,PON,Pnc,Pnc,,,PUNCT,",",9
209,35,1,car,car,35,CON:coord,Crd,Crd,car,C/V\,CCONJ,car,10
210,35,2,il,il,35,PRO:pers:suj:3:masc:sg:unb,Prn,Prn,il,/V\,PRON,il,10
211,35,3,toz,toz,35,DET:ind:obj:masc:pl,QIs,QIs,tout,C/V\,DET,tout,10
212,35,4,estrumanz,estrumanz,35,NOM:obj:masc:pl,N,N,,/V\.C/V\.'C/V\,NOUN,estrument,0
213,35,5,devise,devise,35,VER:pres:3:sg,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,deviser,3
214,36,1,et,et,36,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
215,36,2,toz,toz,36,DET:ind:obj:masc:pl,QIs,QIs,tout,C/V\,DET,tout,10
216,36,3,engins,engins,36,NOM:obj:masc:pl,N,N,,/V\.'C/V\,NOUN,engin,9
217,36,4,et,et,36,CON:coord,Crd,Crd,et,/V\,CCONJ,et,10
