wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,pos,lemma_ofl,lemma_score
203,33,2,doi,doi,633,Vfin,Vfin,devoir2,7s,---,C/V\,VERB,devoir,10
204,33,3,amer,amer,633,Vinf,Vinf,aimer,7s,---,/V\.'C/V\,VERB,aimer,10
205,33,4,ma,ma,633,Det,Det,mon,7s,---,C/V\,DET,mon,10
206,33,5,pensee,pensee,633,N,N,,7s,---,C/V\.'C/V\./(e)\,NOUN,pensée,8
207,33,6,",",",",633,Pnc,Pnc,,7s,---,,PUNCT,",",9
208,34,1,quel,quel,634,QIs,QIs,quel,7s,---,C/V\,DET,quel,10
209,34,2,mal,mal,634,N,N,mal,7s,---,C/V\,NOUN,mal,10
210,34,3,qu',qu',634,Qux,Qux,que,7s,---,C/\,PRON,que,10
211,34,4,en,en,634,Prn,Prn$$,en2,7s,---,/V\,PRON,en,10
212,34,5,aie,aie,634,Vfin,Vfin,avoir,7s,---,'/V\./(e)\,VERB,avoir,10
213,34,6,enduré,enduré,634,Vpp,Vpp,endurer,7s,---,/V\.C/V\.'C/V\,VERB,endurer,10
214,34,7,.,.,634,Pnc,Pnc,,7s,---,,PUNCT,.,9
215,35,1,se,se,635,Sub,Sub,si3,7s,---,C/(e)\,SCONJ,si,10
216,35,2,ma,ma,635,Det,Det,mon,7s,---,C/V\,DET,mon,10
217,35,3,dame,dame,635,N,N,,7s,---,'C/V\.C/(e)\,NOUN,dame,8
218,35,4,bien,bien,635,Adv,Adv,bien,7s,---,C/V\,ADV,bien,10
219,35,5,amee,amee,635,Vpp,Vpp,aimer,7s,---,/V\.'C/V\./(e)\,VERB,aimer,10
220,36,1,eust,eust,636,Vfin,Vfin,avoir,7s,---,/(V)\.'/V\,VERB,avoir,10
221,36,2,moi,moi,636,Prn,Prn,moi,7s,---,C/V\,PRON,moi,10
222,36,3,tant,tant,636,QIs,QIs,tant,7s,---,C/V\,ADV,tant,10
223,36,4,desirré,desirré,636,Vpp,Vpp,désirer,7s,---,C/V\.C/V\.'C/V\,VERB,désirer,10
224,37,1,com,com,637,Sub,Sub,comme,7s,---,C/V\,SCONJ,comme,10
225,37,2,j',j',637,Prn,Prn$,je,7s,---,C/\,PRON,je,10
226,37,3,ai,ai,637,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
227,37,4,li,li,637,Prn,Prn,li,7s,---,C/V\,PRON,li,10
228,37,5,—,—,637,Pnc,Pnc,,7s,---,,PUNCT,—,8
229,37,6,ce,ce,637,Prn,Prn$,ce,7s,---,C/(e)\,PRON,ce,10
230,37,7,m',m',637,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
231,37,8,a,a,637,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
232,37,9,grevé,grevé,637,Vpp,Vpp,grever,7s,---,C/V\.'C/V\,VERB,grever,10
233,37,10,—,—,637,Pnc,Pnc,,7s,---,,PUNCT,—,8
234,37,11,",",",",637,Pnc,Pnc,,7s,---,,PUNCT,",",9
235,38,1,ne,ne,638,Neg,Neg,ne,7s,---,C/(e)\,ADV,ne,10
236,38,2,se,se,638,Prn,Prn$$,se,7s,---,C/(e)\,PRON,se,10
237,38,3,fust,fust,638,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
238,38,4,pas,pas,638,Neg,Neg,pas,7s,---,C/V\,ADV,pas,10
239,38,5,consirree,consirree,638,Vpp,Vpp,consirer,7s,---,C/V\.C/V\.'C/V\./e\,VERB,consirer,10
240,39,1,de,de,639,Pre,Pre,de,7s,---,C/(e)\,ADP,de,10
241,39,2,ce,ce,639,Prn,Prn,ce,7s,---,C/(e)\,PRON,ce,10
242,39,3,donc,donc,639,Qux,Qux,dont,7s,---,C/V\,PRON,dont,10
243,39,4,m',m',639,Prn,Prn$$,me,7s,---,C/\,PRON,me,10
244,39,5,ai,ai,639,Vfin,Vfin,avoir,7s,---,/V\,VERB,avoir,10
245,39,6,consirré,consirré,639,Vpp,Vpp,consirer,7s,---,C/V\.C/V\.'C/V\,VERB,consirer,10
246,39,7,;,;,639,Pnc,Pnc,,7s,---,,PUNCT,;,9
247,40,1,maiz,maiz,640,Crd,Crd,mais,7s,---,C/V\,CCONJ,mais,10
248,40,2,tout,tout,640,QIs,QIs,tout,7s,---,C/V\,ADV,tout,10
249,40,3,li,li,640,Prn,Prn$$,li,7s,---,C/V\,PRON,li,10
250,40,4,soit,soit,640,Vfin,Vfin,être,7s,---,C/V\,VERB,être,10
251,40,5,pardouné,pardouné,640,Vpp,Vpp,pardonner,7s,---,C/V\.C/V\.'C/V\,VERB,pardonner,10
252,40,6,.,.,640,Pnc,Pnc,,7s,---,,PUNCT,.,9
253,41,1,sa,sa,641,Det,Det,son4,7s,---,C/V\,DET,son,10
254,41,2,biautez,biautez,641,N,N,,7s,---,C/V\.'C/V\,NOUN,beauté,9
