wd_id,word,lex_id,page_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1472,entre,entre,1027,PrA,PrA,entre,'/V\.C/(e)\,ADP,entre,10
1473,vous,vous,1027,Prn,Prn,vous,C/V\,PRON,vous,10
1474,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1475,hommes,hommes,1027,N,N,,'/V\.C/e\,NOUN,homme,8
1476,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1477,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1478,nous,nous,1027,Prn,Prn$$,nous,C/V\,PRON,nous,10
1479,laissiez,laissiez,1027,Vfin,Vfin,laisser,C/V\.'C/V\,VERB,laisser,10
1480,icy,icy,1027,Adv,Adv,ici,/V\.'C/V\,ADV,ici,10
1481,!,!,1027,Pnc,Pnc,,,PUNCT,!,9
1482,»,»,1027,Pnc,Pnc,,,PUNCT,»,9
1483,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1484,A,a,1027,Pre,Pre,à,/V\,ADP,à,10
1485,ces,ces,1027,Dem,Dem,cist,C/V\,DET,cist,10
1486,parolles,parolles,1027,N,N,,C/V\.'C/V\.C/e\,NOUN,parole,8
1487,chacun,chacun,1027,QIs,QIs,chacun,C/V\.'C/V\,PRON,chacun,10
1488,sailli,sailli,1027,Vfin,Vfin,,C/V\.'C/V\,VERB,saillir,9
1489,dehors,dehors,1027,PrA,PrA,dehors,C/V\.'C/V\,ADV,dehors,10
1490,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1491,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1492,le,le,1027,Det,Det,le,C/(e)\,DET,le,10
1493,petit,petit,1027,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
1494,Saintré,saintré,1027,N,N,,C/V\.'C/V\,PROPN,Saintref,-10
1495,a,a,1027,Pre,Pre,à,/V\,ADP,à,10
1496,genoulz,genoulz,1027,N,N,,C/V\.'C/V\,NOUN,genou,9
1497,prent,prent,1027,Vfin,Vfin,prendre,C/V\,VERB,prendre,10
1498,congié,congié,1027,N,N,,C/V\.'C/V\,NOUN,congé,9
1499,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1500,Et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1501,quant,quant,1027,Sub,Sub,quand,C/V\,SCONJ,quand,10
1502,Madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,PROPN,madame,2
1503,le,le,1027,Prn,Prn$$,le,C/(e)\,PRON,le,10
1504,vist,vist,1027,Vfin,Vfin,voir,C/V\,VERB,voir,10
1505,a,a,1027,Pre,Pre,à,/V\,ADP,à,10
1506,genoulz,genoulz,1027,N,N,,C/V\.'C/V\,NOUN,genou,9
1507,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1508,elle,elle,1027,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1509,lui,lui,1027,Prn,Prn$$,lui,C/V\,PRON,lui,10
1510,dist,dist,1027,Vfin,Vfin,dire,C/V\,VERB,dire,10
1511,:,:,1027,Pnc,Pnc,,,PUNCT,:,9
1512,«,«,1027,Pnc,Pnc,,,PUNCT,«,9
1513,Vous,vous,1027,Prn,Prn$,vous,C/V\,PRON,vous,10
1514,demourrez,demourrez,1027,Vfin,Vfin,demeurer,C/V\.C/V\.'C/V\,VERB,demeurer,10
1515,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1516,maistre,maistre,1027,N,N,,'C/V\.C/(e)\,NOUN,maître,8
1517,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1518,vous,vous,1027,Prn,Prn$,vous,C/V\,PRON,vous,10
1519,n',n',1027,Neg,Neg$$,ne,C/\,ADV,ne,10
1520,estes,estes,1027,Vfin,Vfin,être,'/V\.C/e\,VERB,être,10
1521,pas,pas,1027,Neg,Neg,pas,C/V\,ADV,pas,10
1522,au,au,1027,Pre+Det,Pre+Det,à.le,/V\,ADP.DET,à.le,10
1523,compte,compte,1027,N,N,,'C/V\.C/(e)\,NOUN,compte,3
1524,des,des,1027,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
1525,hommes,hommes,1027,N,N,,'/V\.C/e\,NOUN,homme,8
1526,;,;,1027,Pnc,Pnc,,,PUNCT,;,9
1527,je,je,1027,Prn,Prn$,je,C/(e)\,PRON,je,10
1528,vueil,vueil,1027,Vfin,Vfin,vouloir,C/V\,VERB,vouloir,10
1529,cy,cy,1027,Adv,Adv,ci,C/V\,ADV,ci,10
1530,parler,parler,1027,Vinf,Vinf,parler,C/V\.'C/V\,VERB,parler,10
1531,a,a,1027,Pre,Pre,à,/V\,ADP,à,10
1532,vous,vous,1027,Prn,Prn,vous,C/V\,PRON,vous,10
1533,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1534,»,»,1027,Pnc,Pnc,,,PUNCT,»,9
1535,Alors,alors,1027,Adv,Adv,alors,/V\.'C/V\,ADV,alors,10
1536,la,la,1027,Det,Det,le,C/V\,DET,le,10
1537,porte,porte,1027,N,N,,'C/V\.C/(e)\,NOUN,porte,8
1538,fut,fut,1027,Vfin,Vfin,être,C/V\,VERB,être,10
1539,close,close,1027,Vpp,Vpp,clore,'C/V\.C/(e)\,VERB,clore,10
1540,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1541,Madame,madame,1027,N,N,,C/V\.'C/V\.C/(e)\,NOUN,madame,9
1542,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1543,assise,assise,1027,Vpp,Vpp,asseoir,/V\.'C/V\.C/(e)\,VERB,asseoir,10
1544,sur,sur,1027,PrA,PrA,sur,C/V\,ADP,sur,10
1545,les,les,1027,Det,Det,le,C/V\,DET,le,10
1546,piez,piez,1027,N,N,,C/V\,NOUN,pied,3
1547,du,du,1027,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
1548,petit,petit,1027,Adj,Adj,petit,C/V\.'C/V\,ADJ,petit,10
1549,lit,lit,1027,N,N,,C/V\,NOUN,lit,8
1550,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1551,le,le,1027,Prn,Prn$$,le,C/(e)\,PRON,le,10
1552,fist,fist,1027,Vfin,Vfin,faire,C/V\,VERB,faire,10
1553,entre,entre,1027,PrA,PrA,entre,'/V\.C/(e)\,ADP,entre,10
1554,elle,elle,1027,Prn,Prn,elle,'/V\.C/(e)\,PRON,elle,10
1555,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1556,ses,ses,1027,Det,Det,son4,C/V\,DET,son,10
1557,femmes,femmes,1027,N,N,,'C/V\.C/e\,NOUN,femme,8
1558,venir,venir,1027,Vinf,Vinf,venir,C/V\.'C/V\,VERB,venir,10
1559,",",",",1027,Pnc,Pnc,,,PUNCT,",",9
1560,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1561,lors,lors,1027,Adv,Adv,lors,C/V\,ADV,lors,10
1562,prist,prist,1027,Vfin,Vfin,prendre,C/V\,VERB,prendre,10
1563,la,la,1027,Det,Det,le,C/V\,DET,le,10
1564,foy,foy,1027,N,N,,C/V\,NOUN,foi,3
1565,et,et,1027,Crd,Crd,et,/V\,CCONJ,et,10
1566,de,de,1027,Pre,Pre,de,C/(e)\,ADP,de,10
1567,lui,lui,1027,Prn,Prn$,lui,C/V\,PRON,lui,10
1568,dire,dire,1027,Vinf,Vinf,dire,'C/V\.C/(e)\,VERB,dire,10
1569,de,de,1027,Pre,Pre,de,C/(e)\,ADP,de,10
1570,toutes,toutes,1027,QIs,QIs,tout,'C/V\.C/e\,DET,tout,10
1571,ses,ses,1027,Det,Det,son4,C/V\,DET,son,10
1572,demandes,demandes,1027,N,N,,C/V\.'C/V\.C/e\,NOUN,demande,8
1573,la,la,1027,Det,Det,le,C/V\,DET,le,10
1574,verité,verité,1027,N,N,,C/V\.C/V\.'C/V\,NOUN,vérité,8
1575,.,.,1027,Pnc,Pnc,,,PUNCT,.,9
1576,Mais,mais,1028,Crd,Crd,mais,C/V\,CCONJ,mais,10
1577,le,le,1028,Det,Det,le,C/(e)\,DET,le,10
1578,povre,povre,1028,Adj,Adj,pauvre,'C/V\.C/(e)\,ADJ,pauvre,10
1579,josvencel,josvencel,1029,N,N,,C/V\.C/V\.'C/V\,NOUN,jouvenceau,0
