wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1805,terme,terme,10,N,N,,'C/V\.C/(e)\,NOUN,terme,8
1806,vint,vint,10,Vfin,Vfin,venir,C/V\,VERB,venir,10
1807,que,que,10,Sub,Sub,que,C/(e)\,SCONJ,que,10
1808,la,la,10,Det,Det,le,C/V\,DET,le,10
1809,dame,dame,10,N,N,,'C/V\.C/(e)\,NOUN,dame,8
1810,en,en,10,Prn,Prn,en2,/V\,PRON,en,10
1811,deüst,deust,10,Vfin,Vfin,devoir2,C/(V)\.'/V\,VERB,devoir,10
1812,delivrer,delivrer,10,Vinf,Vinf,,C/V\.C/V\.'C/V\,VERB,délivrer,9
1813,selon,selon,10,PrA,PrA,selon,C/V\.'C/V\,ADP,selon,10
1814,nature,nature,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,nature,8
1815,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1816,elle,elle,10,Prn,Prn$,elle,'/V\.C/(e)\,PRON,elle,10
1817,se,se,10,Prn,Prn$$,se,C/(e)\,PRON,se,10
1818,delivra,delivra,10,Vfin,Vfin,,C/V\.C/V\.'C/V\,VERB,délivrer,9
1819,d',d',10,Pre,Pre,de,C/\,ADP,de,10
1820,un,un,10,QIs,QIs,un,/V\,DET,un,10
1821,beau,beau,10,Adj,Adj,beau,C/V\,ADJ,beau,10
1822,filz,filz,10,N,N,,C/V\,NOUN,fils,3
1823,.,.,10,Pnc,Pnc,,,PUNCT,.,9
1824,Et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1825,quant,quant,10,Sub,Sub,quand,C/V\,SCONJ,quand,10
1826,Famius,famius,10,N,N,,C/V\.C/V\.'C/V\,PROPN,Famius,-10
1827,ot,ot,10,Vfin,Vfin,avoir,/V\,VERB,avoir,10
1828,oÿ,oÿ,10,Vpp,Vpp,ouïr,/V\.'C/V\,VERB,ouïr,10
1829,la,la,10,Det,Det,le,C/V\,DET,le,10
1830,nouvelle,nouvelle,10,N,N,,C/V\.'C/V\.C/(e)\,NOUN,nouvelle,3
1831,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1832,il,il,10,Prn,Prn$,il,/V\,PRON,il,10
1833,ne,ne,10,Neg,Neg$$,ne,C/(e)\,ADV,ne,10
1834,se,se,10,Prn,Prn$$,se,C/(e)\,PRON,se,10
1835,pot,pot,10,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
1836,abstenir,abstenir,10,Vinf,Vinf,abstenir,/V\.C/e\.'C/V\,VERB,abstenir,10
1837,ne,ne,10,Crd,Crd,ne2,C/(e)\,CCONJ,ne,10
1838,saouler,saouler,10,Vinf,Vinf,soûler,C/(V)\./V\.'C/V\,VERB,soûler,10
1839,de,de,10,Pre,Pre,de,C/(e)\,ADP,de,10
1840,joye,joye,10,N,N,,'C/V\./(e)\,NOUN,joie,8
1841,faire,faire,10,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
1842,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1843,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1844,fist,fist,10,Vfin,Vfin,faire,C/V\,VERB,faire,10
1845,querir,querir,10,Vinf,Vinf,quérir,C/V\.'C/V\,VERB,quérir,10
1846,quatre,quatre,10,QIs,QIs,quatre,'C/V\.C/(e)\,NUM,quatre,10
1847,nourrices,nourrices,10,N,N,,C/V\.'C/V\.C/e\,NOUN,nourrice,9
1848,de,de,10,Pre,Pre,de,C/(e)\,ADP,de,10
1849,grant,grant,10,Adj,Adj,grand,C/V\,ADJ,grand,10
1850,affaire,affaire,10,N,N,,/V\.'C/V\.C/(e)\,NOUN,affaire,8
1851,pour,pour,10,Pre,Pre,pour,C/V\,ADP,pour,10
1852,l',l',10,Det,Det,le,C/\,DET,le,10
1853,enfant,enfant,10,N,N,,/V\.'C/V\,NOUN,enfant,3
1854,garder,garder,10,Vinf,Vinf,garder,C/V\.'C/V\,VERB,garder,10
