wd_id,word,lex_id,pos_nca,chapter_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
33,si,si,PROCON,5,151,Adv,Adv,si4,C/V\,ADV,si,10
34,courbe,courbe,ADJ:suj:femi:sg,5,151,Adj,Adj,,'C/V\.C/(e)\,ADJ,courbe,8
35,",",",",PON,5,151,Pnc,Pnc,,,PUNCT,",",9
36,par,par,PRE,5,151,Pre,Pre,par,C/V\,ADP,par,10
37,trois,trois,ADJ:card,5,151,QIs,QIs,trois,C/V\,NUM,trois,10
38,anz,anz,NOM:obj:masc:pl,5,151,N,N,,/V\,NOUN,an,8
39,ou,ou,PROCON,5,151,Qux,Qux,où,/V\,ADJ|ADV|DET|PRON,où,10
40,la,la,ADV,5,151,Adv,Adv,là,C/V\,ADV,là,10
41,entour,entour,ADV,5,151,PrA,PrA,entour,/V\.'C/V\,ADV,entour,10
42,aincois,aincois,ADV,5,151,Adv,Adv,ainçois,/V\.'C/V\,ADV,ainçois,10
43,que,que,PROCON,5,151,Sub,Sub,que,C/(e)\,SCONJ,que,10
44,les,les,DET:def:suj:masc:pl,5,151,Det,Det,le,C/V\,DET,le,10
45,os,os,NOM:suj:masc:pl,5,151,N,N,,/V\,NOUN,os,3
46,du,du,PREDET:de:obj:masc:sg,5,151,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10
47,benoiet,benoiet,ADJ:obj:masc:sg,5,151,Adj,Adj,,C/V\.C/V\.'C/V\,ADJ,UNKNOWN,-10
48,saint,saint,ADJ:obj:masc:sg,5,151,Adj,Adj,saint,C/V\,ADJ,saint,10
49,loys,loys,NPR:obj:masc:sg,5,151,N,N,,C/V\,NOUN,loi,3
50,fussent,fussent,VER:subi:3:pl,5,151,Vfin,Vfin,être,'C/V\.C/e\,VERB,être,10
51,portez,portez,VER:pper:masc:pl,5,151,Vpp,Vpp,porter,C/V\.'C/V\,VERB,porter,10
52,en,en,PRO:clit,5,151,Pre,Pre,en,/V\,ADP,en,10
53,france,france,NPR:obj:femi:sg,5,151,N,N,,'C/V\.C/(e)\,NOUN,France,5
54,",",",",PON,5,151,Pnc,Pnc,,,PUNCT,",",9
55,que,que,PROCON,5,151,Crd,Crd,que,C/(e)\,CCONJ,que,10
56,ses,ses,DET:poss:suj:femi:pl,5,151,Det,Det,son4,C/V\,DET,son,10
57,naches,naches,NOM:suj:femi:pl,5,151,N,N,,'C/V\.C/e\,NOUN,nache,9
58,estoient,estoient,VER:impf:3:pl,5,151,Vfin,Vfin,être,/V\.'C/V\./e\,VERB,être,10
59,plus,plus,ADV,5,151,Adv,Adv,plus,C/V\,ADV,plus,10
60,hautes,hautes,ADJ:suj:femi:pl,5,151,Adj,Adj,haut,'C/V\.C/e\,ADJ,haut,10
61,que,que,PROCON,5,151,Sub,Sub,que,C/(e)\,SCONJ,que,10
62,son,son,DET:poss:suj:masc:sg,5,151,Det,Det,son4,C/V\,DET,son,10
63,chief,chief,NOM:suj:masc:sg,5,151,N,N,,C/V\,NOUN,chef,8
64,.,.,PON,5,151,Pnc,Pnc,,,PUNCT,.,9
