wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
212,35,1,vers,vers,Pre,Pre,vers2,C/V\,ADP,vers,10
213,35,2,l',l',Det,Det,le,C/\,DET,le,10
214,35,3,abbaie,abbaie,N,N,,/V\.C/V\.'C/V\./(e)\,NOUN,abbaye,8
215,35,4,me,me,Prn,Prn$$,me,C/(e)\,PRON,me,10
216,35,5,fault,fault,Vfin,Vfin,faillir,C/V\,VERB,faillir,10
217,35,6,traire,traire,Vinf,Vinf,traire,'C/V\.C/(e)\,VERB,traire,10
218,35,7,",",",",Pnc,Pnc,,,PUNCT,",",9
219,36,1,car,car,Crd,Crd,car,C/V\,CCONJ,car,10
220,36,2,devers,devers,PrA,PrA,devers,C/V\.'C/V\,ADP,devers,10
221,36,3,l',l',Det,Det,le,C/\,DET,le,10
222,36,4,abbesse,abbesse,N,N,,/V\.'C/V\.C/(e)\,NOUN,abbesse,9
223,36,5,ay,ay,Vfin,Vfin,avoir,/V\,VERB,avoir,10
224,36,6,a,a,Pre,Pre,à,/V\,ADP,à,10
225,36,7,faire,faire,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
226,36,8,",",",",Pnc,Pnc,,,PUNCT,",",9
227,37,1,qui,qui,Qux,Qux,qui,C/V\,PRON,qui,10
228,37,2,est,est,Vfin,Vfin,être,/V\,VERB,être,10
229,37,3,m',m',Det,Det,mon,C/\,DET,mon,10
230,37,4,antin,antin,N,N,,/V\.'C/V\,NOUN,ante,5
231,37,5,.,.,Pnc,Pnc,,,PUNCT,.,9
232,38,1,sire,sire,N,N,,'C/V\.C/(e)\,NOUN,sire,11
233,38,2,",",",",Pnc,Pnc,,,PUNCT,",",9
234,38,3,je,je,Prn,Prn$,je,C/(e)\,PRON,je,10
235,38,4,croy,croy,Vfin,Vfin,croire,C/V\,VERB,croire,10
236,38,5,miex,miex,Adv,Adv,mieux,C/V\,ADV,mieux,10
237,38,6,pour,pour,Pre,Pre,pour,C/V\,ADP,pour,10
238,38,7,certain,certain,Adj,Adj,certain,C/V\.'C/V\,ADJ,certain,10
239,39,1,que,que,Sub,Sub,que,C/(e)\,SCONJ,que,10
240,39,2,l',l',Det,Det,le,C/\,DET,le,10
241,39,3,amour,amour,N,N,,/V\.'C/V\,NOUN,amour,8
242,39,4,de,de,Pre,Pre,de,C/(e)\,ADP,de,10
243,39,5,la,la,Det,Det,le,C/V\,DET,le,10
244,39,6,nonne,nonne,N,N,,'C/V\.C/(e)\,NOUN,nonne,3
245,39,7,belle,belle,Adj,Adj,beau,'C/V\.C/(e)\,ADJ,beau,10
246,39,8,",",",",Pnc,Pnc,,,PUNCT,",",9
247,40,1,qui,qui,Qux,Qux,qui,C/V\,PRON,qui,10
248,40,2,tant,tant,QIs,QIs,tant,C/V\,ADV,tant,10
249,40,3,sainte,sainte,Adj,Adj,saint,'C/V\.C/(e)\,ADJ,saint,10
250,40,4,damoiselle,damoiselle,N,N,,C/V\.C/V\.'C/V\.C/(e)\,NOUN,damoiselle,8
251,40,5,",",",",Pnc,Pnc,,,PUNCT,",",9
252,41,1,laiens,laiens,Adv,Adv,léans,C/V\.'C/V\,ADV,léans,10
253,41,2,vous,vous,Prn,Prn$$,vous,C/V\,PRON,vous,10
254,41,3,maine,maine,Vfin,Vfin,mener,'C/V\.C/(e)\,VERB,mener,10
255,41,4,.,.,Pnc,Pnc,,,PUNCT,.,9
