wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1696,267,2,regarder,regarder,VER:infi,276,Vinf,Vinf,regarder,C/V\.C/V\.'C/V\,VERB,regarder,10,,
1697,267,3,aucun,aucun,DET:ind:obj:masc:sg,276,QIs,QIs,aucun,/V\.'C/V\,DET,aucun,10,,
1698,267,4,malade,malade,ADJ:obj:masc:sg,276,Adj,Adj,,C/V\.'C/V\.C/(e)\,ADJ,malade,9,,
1699,268,1,lors,lors,ADV,277,Adv,Adv,lors,C/V\,ADV,lors,10,,
1700,268,2,ai,ai,VER:pres:1:sg,277,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
1701,268,3,le,le,DET:def:obj:masc:sg,277,Det,Det,le,C/(e)\,DET,le,10,,
1702,268,4,cuer,cuer,NOM:obj:masc:sg,277,N,N,,C/V\,NOUN,coeur,3,,
1703,268,5,si,si,PROCON,277,Adv,Adv,si4,C/V\,ADV,si,10,,
1704,268,6,mort,mort,VER:pper:masc:sg,277,Vpp,Vpp,mourir,C/V\,VERB,mourir,10,,
1705,268,7,et,et,CON:coord,277,Crd,Crd,et,/V\,CCONJ,et,10,,
1706,268,8,fade,fade,ADJ:obj:masc:sg,277,Adj,Adj,,'C/V\.C/(e)\,ADJ,fade,3,,
1707,269,1,qu,qu,PROCON,278,Sub,Sub,que,C/\,SCONJ,que,10,,
1708,269,2,il,il,PRO:pers:suj:3:masc:sg:unb,278,Prn,Prn$,il,/V\,PRON,il,10,,
1709,269,3,m',m',PRO:pers:obj:1:sg:unb,278,Prn,Prn$$,me,C/\,PRON,me,10,,
1710,269,4,est,est,VER:pres:3:sg,278,Vfin,Vfin,être,/V\,VERB,être,10,,
1711,269,5,avis,avis,NOM:suj:masc:sg,278,N,N,,/V\.'C/V\,NOUN,avis,8,,
1712,269,6,que,que,PROCON,278,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
1713,269,7,point,point,NOM:obj:masc:sg,278,Neg,Neg,point2,C/V\,ADV,point,10,,
1714,269,8,n,n,PRO:clit,278,Neg,Neg$$,ne,C/\,ADV,ne,10,,
1715,269,9,en,en,PRO:clit,278,Prn,Prn$$,en2,/V\,PRON,en,10,,
1716,269,10,sente,sente,VER:subp:1:sg,278,Vfin,Vfin,sentir,'C/V\.C/(e)\,VERB,sentir,10,,
1717,269,11,:,:,PON,278,Pnc,Pnc,,,PUNCT,:,9,,
1718,270,1,cil,cil,PRO:demo:suj:masc:sg,279,Dem,Dem,cil,C/V\,PRON,cil,10,,
1719,270,2,qui,qui,PROCON,279,Qux,Qux,qui,C/V\,PRON,qui,10,,
1720,270,3,fet,fet,VER:pres:3:sg,279,Vfin,Vfin,faire,C/V\,VERB,faire,10,,
1721,270,4,bien,bien,ADV,279,Adv,Adv,bien,C/V\,ADV,bien,10,,
1722,270,5,si,si,PROCON,279,Adv,Adv,si4,C/V\,ADV,si,10,,
1723,270,6,me,me,PRO:pers:obj:1:sg:unb,279,Prn,Prn$$,me,C/(e)\,PRON,me,10,,
1724,270,7,tormente,tormente,VER:pres:3:sg,279,Vfin,Vfin,,C/V\.'C/V\.C/(e)\,VERB,tourmenter,9,,
1725,270,8,.,.,PON,279,Pnc,Pnc,,,PUNCT,.,9,,
1726,271,1,va,va,VER:impe:2:sg,280,Vfin,Vfin,aller,C/V\,VERB,aller,10,,
1727,271,2,t,t,PRO:pers:obj:2:sg:unb,280,Prn,Prn%%,te,C/\,PRON,te,10,,
1728,271,3,en,en,PRO:clit,280,Prn,Prn%%,en2,/V\,PRON,en,10,,
1729,271,4,tu,tu,PRO:pers:suj:2:sg:unb,280,Prn,Prn$,tu,C/V\,PRON,tu,10,,
1730,271,5,seras,seras,VER:futu:2:sg,280,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
