wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2923,484,6,moe,moe,NOM:obj:femi:sg,496,N,N,,'C/V\./(e)\,NOUN,moue,3,,
2924,485,1,par,par,PRE,497,Pre,Pre,par,C/V\,ADP,par,10,,
2925,485,2,dieu,dieu,NOM:obj:masc:sg,497,N,N,,C/V\,NOUN,dieu,3,,
2926,485,3,je,je,PRO:pers:suj:1:sg:unb,497,Prn,Prn$,je,C/(e)\,PRON,je,10,,
2927,485,4,n,n,PRO:clit,497,Neg,Neg$$,ne,C/\,ADV,ne,10,,
2928,485,5,ai,ai,VER:pres:1:sg,497,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2929,485,6,goute,goute,NOM:obj:femi:sg,497,N,N,,'C/V\.C/(e)\,NOUN,goutte,3,,
2930,485,7,d',d,PRE,497,Pre,Pre,de,C/\,ADP,de,10,,
2931,485,8,argent,argent,NOM:obj:masc:sg,497,N,N,,/V\.'C/V\,NOUN,argent,8,,
2932,486,1,si,si,PROCON,498,Adv,Adv,si4,C/V\,ADV,si,10,,
2933,486,2,n,n,PRO:clit,498,Neg,Neg$$,ne,C/\,ADV,ne,10,,
2934,486,3,ai,ai,VER:pres:1:sg,498,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2935,486,4,mie,mie,ADV,498,Neg,Neg,mie3,'C/V\./(e)\,ADV,mie,10,,
2936,486,5,a,a,PRE,498,Pre,Pre,à,/V\,ADP,à,10,,
2937,486,6,vivre,vivre,VER:infi,498,Vinf,Vinf,vivre,'C/V\.C/(e)\,VERB,vivre,10,,
2938,486,7,granment,granment,ADV,498,Adv,Adv,,C/V\.'C/V\,ADV,grandement,9,,
2939,487,1,et,et,CON:coord,499,Crd,Crd,et,/V\,CCONJ,et,10,,
2940,487,2,si,si,PROCON,499,Adv,Adv,si4,C/V\,ADV,si,10,,
2941,487,3,n,n,PRO:clit,499,Neg,Neg$$,ne,C/\,ADV,ne,10,,
