wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
2180,320,4,nel,nel,320,Neg+Prn,Neg$$+Prn$$,ne.le,C/V\,ADV.PRON,ne.le,10,,
2181,320,5,desdeisse,desdeisse,320,Vfin,Vfin,dédire,C/V\.C/(V)\.'/V\.C/(e)\,VERB,dédire,10,,
2182,320,6,.,.,320,Pnc,Pnc,,,PUNCT,.,9,,
2183,321,1,vus,vus,321,Prn,Prn$,vous,C/V\,PRON,vous,10,,
2184,321,2,estes,estes,321,Vfin,Vfin,être,'/V\.C/e\,VERB,être,10,,
2185,321,3,ma,ma,321,Det,Det,mon,C/V\,DET,mon,10,,
2186,321,4,vie,vie,321,N,N,,'C/V\./(e)\,NOUN,vie,3,,
2187,321,5,e,e,321,Crd,Crd,et,/V\,CCONJ,et,10,,
2188,321,6,ma,ma,321,Det,Det,mon,C/V\,DET,mon,10,,
2189,321,7,mort,mort,321,N,N,,C/V\,NOUN,mort,3,,
2190,321,8,",",",",321,Pnc,Pnc,,,PUNCT,",",9,,
2191,322,1,sanz,sanz,322,Pre,Pre,sans,C/V\,ADP,sans,10,,
2192,322,2,vus,vus,322,Prn,Prn,vous,C/V\,PRON,vous,10,,
2193,322,3,n',n',322,Neg,Neg$$,ne,C/\,ADV,ne,10,,
2194,322,4,avrai,avrai,322,Vfin,Vfin,avoir,/V\.'C/V\,VERB,avoir,10,,
2195,322,5,jo,jo,322,Prn,Prn%,je,C/V\,PRON,je,10,,
2196,322,6,confort,confort,322,N,N,,C/V\.'C/V\,NOUN,confort,8,,
2197,322,7,;,;,322,Pnc,Pnc,,,PUNCT,;,9,,
2198,323,1,asez,asez,323,Adv,Adv,assez,/V\.'C/V\,ADV,assez,10,,
2199,323,2,vus,vus,323,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
2200,323,3,aim,aim,323,Vfin,Vfin,aimer,/V\,VERB,aimer,10,,
2201,323,4,plus,plus,323,Adv,Adv,plus,C/V\,ADV,plus,10,,
2202,323,5,de,de,323,Pre,Pre,de,C/(e)\,ADP,de,10,,
2203,323,6,mei,mei,323,Prn,Prn,moi,C/V\,PRON,moi,10,,
2204,323,7,",",",",323,Pnc,Pnc,,,PUNCT,",",9,,
2205,324,1,murrai,murrai,324,Vfin,Vfin,mourir,C/V\.'C/V\,VERB,mourir,10,,
2206,324,2,pur,pur,324,Pre,Pre,pour,C/V\,ADP,pour,10,,
2207,324,3,vus,vus,324,Prn,Prn,vous,C/V\,PRON,vous,10,,
2208,324,4,a,a,324,Pre,Pre,à,/V\,ADP,à,10,,
2209,324,5,grant,grant,324,Adj,Adj,grand,C/V\,ADJ,grand,10,,
2210,324,6,desrei,desrei,324,N,N,,C/V\.'C/V\,NOUN,desroi,8,,
2211,324,7,;,;,324,Pnc,Pnc,,,PUNCT,;,9,,
2212,325,1,se,se,325,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
2213,325,2,vus,vus,325,Prn,Prn$$,vous,C/V\,PRON,vous,10,,
2214,325,3,ne,ne,325,Neg,Neg$$,ne,C/(e)\,ADV,ne,10,,
2215,325,4,prenge,prenge,325,Vfin,Vfin,prendre,'C/V\.C/(e)\,VERB,prendre,10,,
2216,325,5,de,de,325,Pre,Pre,de,C/(e)\,ADP,de,10,,
2217,325,6,mei,mei,325,Prn,Prn,moi,C/V\,PRON,moi,10,,
2218,325,7,pité,pité,325,N,N,,C/V\.'C/V\,NOUN,pitié,8,,
2219,325,8,",",",",325,Pnc,Pnc,,,PUNCT,",",9,,
2220,326,1,a,a,326,Pre,Pre,à,/V\,ADP,à,10,,
2221,326,2,grant,grant,326,Adj,Adj,grand,C/V\,ADJ,grand,10,,
2222,326,3,peril,peril,326,N,N,,C/e\.'C/V\,NOUN,péril,8,,
2223,326,4,serrai,serrai,326,Vfin,Vfin,être,C/V\.'C/V\,VERB,être,10,,
2224,326,5,livré,livré,326,Vpp,Vpp,,C/V\.'C/V\,VERB,livrer,9,,
2225,326,6,.,.,326,Pnc,Pnc,,,PUNCT,.,9,,
2226,327,1,se,se,327,Sub,Sub,si3,C/(e)\,SCONJ,si,10,,
2227,327,2,saviez,saviez,327,Vfin,Vfin,savoir,C/V\.C/<V>\.'/V\,VERB,savoir,10,,
2228,327,3,la,la,327,Det,Det,le,C/V\,DET,le,10,,
2229,327,4,grant,grant,327,Adj,Adj,grand,C/V\,ADJ,grand,10,,
2230,327,5,tristur,tristur,327,N,N,,C/V\.'C/V\,NOUN,tristeur,0,,
2231,328,1,que,que,328,Qux,Qux,que,C/(e)\,PRON,que,10,,
2232,328,2,ai,ai,328,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
2233,328,3,pur,pur,328,Pre,Pre,pour,C/V\,ADP,pour,10,,
2234,328,4,la,la,328,Det,Det,le,C/V\,DET,le,10,,
2235,328,5,vostre,vostre,328,Adj,Adj,votre,'C/V\.C/(e)\,ADJ,votre,10,,
2236,328,6,amur,amur,328,N,N,,/V\.'C/V\,NOUN,amour,8,,
2237,328,7,",",",",328,Pnc,Pnc,,,PUNCT,",",9,,
