wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,syntag2,lemma,synfunc,syllabified
503,89,3,demander,demander,VER,1865,demander|dementer_+IT|+M,10,Vinf,Vinf,demander,,C/V\.C/V\.'C/V\
504,90,1,ne,ne,PRO:clit,1866,en2_S,10,Crd,Crd,ne2,,C/(e)\
505,90,2,deviser,deviser,VER,1867,deviser_+IMT,10,Vinf,Vinf,,,C/V\.C/V\.'C/V\
506,90,3,qui,qui,PROCON,1868,qui_S,10,Qux,Qux,qui,s,C/V\
507,90,4,proufitable,proufitable,ADJ,1869,porfitable_*+T,10,Adj,Adj,,,C/V\.C/V\.'C/V\.C/(e)\
508,91,1,Et,et,CON:coord,1899,et_S,10,Crd,Crd,et,,/V\
509,91,2,quant,quant,ADV,1900,cant_C,10,Sub,Sub,quand,,C/V\
510,91,3,l',l',DET:def,1901,le_S,10,Det,Det,le,,C/\
511,91,4,enfant,enfant,NOM,1902,enfant_+CIT,10,N,N,,,/V\.'C/V\
512,91,5,vint,vint,VER,1903,venir|voir_+CI|M,10,Vfin,Vfin,venir,,C/V\
513,91,6,en,en,PRE,1904,en1_+S,10,Pre,Pre,en1,,/V\
514,91,7,aage,aage,NOM,1905,ëage_+ITd,10,N,N,,,/(V)\.'/V\
515,92,1,qu',qu',PROCON,1906,que1|que2|que3|que4_S|S|S|S,10,Sub,Sub,que,,C/\
516,92,2,il,il,PRO:pers,1907,il_S,10,Prn,Prn$,3p,s,/V\
517,92,3,pot,pot,VER,1908,paistre|pöoir_+M|+I,10,Vfin,Vfin,pouvoir2,,C/V\
518,92,4,estre,estre,VER,1909,entr'estre|estre1_+M|+IT,10,Vinf,Vinf,être1|ester,,'/V\.C/(e)\
519,92,5,sanz,sanz,PRE,1910,sans_+S,10,Pre,Pre,sans,,C/V\
520,92,6,aletier,aletier,VER,1911,alaitier_+Z,10,Vinf,Vinf,,,/V\.C/V\.'C/V\
521,93,1,il,il,PRO:pers,1920,il_S,10,Prn,Prn$,3p,s,/V\
522,93,2,n',n',PRO:clit,1921,en2_S,10,Neg,Neg$$,ne1,,C/\
523,93,3,estoit,estoit,VER,1922,ester|estre1_+IM|+I,10,Vfin,Vfin,être1|ester,,/V\.'C/V\
524,93,4,riens,riens,ADV,1923,riens_Z,10,N,N,rien,,C/V\
525,93,5,qu',qu',PROCON,1924,que1|que2|que3|que4_S|S|S|S,10,Qux,Qux,que,c,C/\
526,93,6,il,il,PRO:pers,1925,il_S,10,Prn,Prn$,3p,s,/V\
527,93,7,voulsist,voulsist,VER,1926,voloir_*+I,10,Vfin,Vfin,vouloir,,C/V\.'C/V\
528,93,8,faire,faire,VER,1927,faire_+MIT,10,Vinf,Vinf,faire,c,'C/V\.C/(e)\
529,94,1,qui,qui,PROCON,1951,qui_S,10,Qux,Qux,qui,s,C/V\
530,94,2,tant,tant,ADV,1952,tant_CI,10,QIs,QIs,tant,,C/V\
531,94,3,l',l',PRO:pers,1953,il_S,10,Prn,Prn$$,3p,c,C/\
532,94,4,amoit,amoit,VER,1954,amer1|amüir_+I|+MMd,10,Vfin,Vfin,aimer,,/V\.'C/V\
533,94,5,plus,plus,ADV,1955,plus_CI,10,Adv,Adv,plus,,C/V\
534,94,6,que,que,PROCON,1956,que3_S,10,Sub,Sub,que,,C/(e)\
535,94,7,soy,soy,PRO:pers,1957,soi1_S,10,Prn,Prn,soi,,C/V\
536,94,8,mesmes,mesmes,ADV,1958,mëisme_Z,10,Adv,Adv,même,,'C/V\.C/e\
537,95,1,et,et,CON:coord,1960,et_S,10,Crd,Crd,et,,/V\
538,95,2,lui,lui,PRO:pers,1961,il|loi1_S|S,10,Prn,Prn$$,3p,,C/V\
539,95,3,acoustuma,acoustuma,VER,1962,<unknown>,10,Vfin,Vfin,,,/V\.C/V\.C/V\.'C/V\
540,95,4,a,a,PRE,1963,a_S,10,Pre,Pre,à,,/V\
541,95,5,faire,faire,VER,1964,faire_+MIT,10,Vinf,Vinf,faire,,'C/V\.C/(e)\
542,96,1,et,et,CON:coord,1974,et_S,10,Crd,Crd,et,,/V\
543,96,2,sa,sa,DET:poss,1975,son4_S,10,Det,Det,son4,,C/V\
544,96,3,mere,mere,NOM,1976,mere_+CIT,10,N,N,,,'C/V\.C/(e)\
545,96,4,si,si,DET:poss,1977,son4_S,10,Adv,Adv,si4,,C/V\
546,96,5,deceüz,deceüz,VER,1978,decevoir_+I,10,Vpp,Vpp,décevoir,,C/V\.C/(V)\.'/V\
547,97,1,et,et,CON:coord,2065,et_S,11,Crd,Crd,et,,/V\
548,97,2,avoit,avoit,VER,2066,avoiier|avoir_+MI|+MI,11,Vfin,Vfin,avoir1,,/V\.'C/V\
549,97,3,en,en,PRE,2067,en1_+S,11,Pre,Pre,en1,,/V\
550,97,4,nom,nom,NOM,2068,nom_+CIT,11,N,N,,,C/V\
551,97,5,Berinus,berinus,NPR,2069,<unknown>,11,N,N,,c,C/V\.C/V\.'C/V\
552,98,1,par,par,PRE,2096,par_S,11,Pre,Pre,par1,,C/V\
553,98,2,quoy,quoy,PRO:invar,2097,coi2_S,11,Qux,Qux,que,,C/V\
554,98,3,tous,tous,DET:ind,2098,tot_S,11,QIs,QIs,tout,,C/V\
555,98,4,ceulx,ceulx,PRO:demo,2099,cel_S,11,Dem,Dem,cil,,C/V\
556,98,5,qui,qui,PROCON,2100,qui_S,11,Qux,Qux,qui,s,C/V\
557,98,6,enfans,enfans,NOM,2101,enfant_+C,11,N,N,,c,/V\.'C/V\
558,98,7,ont,ont,VER,2102,avoir|devoir_+CIM|+M,11,Vfin,Vfin,avoir1,,/V\
559,99,1,y,y,PRO:clit,2103,i2_S,11,Prn,Prn$$,y,,/V\
560,99,2,devroient,devroient,VER,2104,devoir_+M,11,Vfin,Vfin,devoir2,,C/V\.'C/V\./e\
561,99,3,bien,bien,ADV,2105,bien1|bien2|bien_+IT|C|I,11,Adv,Adv,bien,,C/V\
562,99,4,prendre,prendre,VER,2106,prendre_+MIT,11,Vinf,Vinf,prendre,,'C/V\.C/(e)\
563,99,5,garde,garde,VER,2107,garder_+MI,11,N,N,,c,'C/V\.C/(e)\
564,100,1,garde,garde,VER,2107,garder_+MI,11,N,N,,c,'C/V\.C/(e)\
565,100,2,et,et,CON:coord,2108,et_S,11,Crd,Crd,et,,/V\
566,100,3,chastïer,chastier,VER,2109,chastiier_+IM,11,Vinf,Vinf,,,C/V\.C/V\.'C/V\
567,100,4,leurs,leurs,DET:poss,2110,lor2_S,11,Det,Det,leur2,,C/V\
568,100,5,enfans,enfans,NOM,2111,enfant_+C,11,N,N,,,/V\.'C/V\
569,101,1,et,et,CON:coord,2166,et_S,12,Crd,Crd,et,,/V\
570,101,2,s',s',PRO:pers,2167,soi1_S,12,Sub,Sub,si3,,C/\
571,101,3,il,il,PRO:pers,2168,il_S,12,Prn,Prn$,3p,s,/V\
572,101,4,tenist,tenist,VER,2169,tenir|tenoir_MI|M,12,Vfin,Vfin,tenir,,C/V\.'C/V\
