wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
359,71,5,et,et,CON:coord,1190,et_S,Crd,Crd,et,830,,/V\
360,71,6,de,de,PRE,1191,de_+S,Pre,Pre,de,830,,C/(e)\
361,71,7,daulphins,daulphins,NOM,1192,<unknown>,N,N,,830,,C/V\.'C/V\
362,72,1,et,et,CON:coord,1203,et_S,Crd,Crd,et,831,,/V\
363,72,2,par,par,PRE,1204,par_S,Pre,Pre,par1,831,,C/V\
364,72,3,pesanteur,pesanteur,NOM,1205,pesantor_*+T,N,N,,831,,C/V\.C/V\.'C/V\
365,72,4,s',s',PRO:pers,1206,soi1_S,Prn,Prn$$,soi,831,,C/\
366,72,5,enclinoit,enclinoit,VER,1207,encliner|incliner_*+IT|+T,Vfin,Vfin,,831,,/V\.C/V\.'C/V\
367,73,1,du,du,PREDET:de,1212,de+le_S,Pre+Det,Pre+Det,de+le,832,,C/V\
368,73,2,sourplus,sourplus,NOM,1213,sorplus_+C,N,N,,832,,C/V\.'C/V\
369,73,3,a,a,PRE,1214,a_S,Pre,Pre,à,832,,/V\
370,73,4,tendre,tendre,VER,1215,tendre1|tendre_+IT|MI,Vinf,Vinf,tendre,832,,'C/V\.C/(e)\
371,73,5,en,en,PRE,1216,en1_+S,Pre,Pre,en1,832,,/V\
372,73,6,ruyne,ruyne,NOM,1217,<unknown>,N,N,,832,,C/V\.'C/V\.C/(e)\
373,74,1,le,le,DET:def,1224,le_S,Det,Det,le,833,,C/(e)\
374,74,2,plus,plus,ADV,1225,plus_CI,Adv,Adv,plus,833,,C/V\
375,74,3,principal,principal,ADJ,1226,principal_IT,Adj,Adj,,833,,C/V\.C/V\.'C/V\
376,74,4,pan,pan,NOM,1227,pain|pan1|pan2|pan3|pen_+T|+IT|+T|+T|+T,N,N,,833,,C/V\
377,74,5,de,de,PRE,1228,de_+S,Pre,Pre,de,833,,C/(e)\
378,74,6,mur,mur,NOM,1229,mul3|mur_+T|+CIT,N,N,,833,,C/V\
379,75,1,de,de,PRE,1228,de_+S,Pre,Pre,de,833,,C/(e)\
380,75,2,mur,mur,NOM,1229,mul3|mur_+T|+CIT,N,N,,833,,C/V\
381,75,3,et,et,CON:coord,1230,et_S,Crd,Crd,et,833,,/V\
382,75,4,qui,qui,PROCON,1231,qui_S,Qux,Qux,qui,833,s,C/V\
383,75,5,portoit,portoit,VER,1232,porter_+MI,Vfin,Vfin,porter,833,,C/V\.'C/V\
384,75,6,le,le,DET:def,1233,le_S,Det,Det,le,833,,C/(e)\
385,75,7,branle,branle,NOM,1234,branle_+T,N,N,,833,,'C/V\.C/(e)\
386,76,1,grevée,grevée,NOM,1262,<unknown>,Vpp,Vpp,grever,903,,C/V\.'C/V\./(e)\
387,76,2,de,de,PRE,1263,de_+S,Pre,Pre,de,903,,C/(e)\
388,76,3,si,si,DET:poss,1264,son4_S,Adv,Adv,si4,903,,C/V\
389,76,4,long,long,ADJ,1265,lonc_+Z,Adj,Adj,long,903,,C/V\
390,76,5,travail,travail,NOM,1266,travail_+IT,N,N,,903,,C/V\.'C/V\
391,77,1,Si,si,ADV,1268,si_+IT,Adv,Adv,si4,903,,C/V\
392,77,2,se,se,PRO:pers,1269,soi1_S,Prn,Prn$$,soi,903,,C/(e)\
393,77,3,retourna,retourna,VER,1270,retorner_*+I,Vfin,Vfin,retourner,904,,C/V\.C/V\.'C/V\
394,77,4,le,le,DET:def,1271,le_S,Det,Det,le,904,,C/(e)\
395,77,5,visage,visage,NOM,1272,visage_+IT,N,N,,904,,C/V\.'C/V\.C/(e)\
396,78,1,Et,et,CON:coord,1291,et_S,Crd,Crd,et,905,,/V\
397,78,2,a,a,PRE,1292,a_S,Pre,Pre,à,905,,/V\
398,78,3,celle,celle,DET:demo,1293,cel_S,Dem,Dem,cil,906,,'C/V\.C/(e)\
399,78,4,heure,heure,NOM,1294,ore3_+T,N,N,,906,,'/V\.C/(e)\
400,78,5,apperceut,apperceut,VER,1295,apercevoir_+M,Vfin,Vfin,apercevoir,906,,/V\.C/V\.'C/V\
401,78,6,trois,trois,ADJ:card,1296,trois1|trois_T|CI,QIs,QIs,3,906,,C/V\
402,79,1,apperceut,apperceut,VER,1295,apercevoir_+M,Vfin,Vfin,apercevoir,906,,/V\.C/V\.'C/V\
403,79,2,trois,trois,ADJ:card,1296,trois1|trois_T|CI,QIs,QIs,3,906,,C/V\
404,79,3,de,de,PRE,1297,de_+S,Pre,Pre,de,906,,C/(e)\
405,79,4,ses,ses,DET:poss,1298,son4_S,Det,Det,son4,906,,C/V\
406,79,5,enfans,enfans,NOM,1299,enfant_+C,N,N,,906,,/V\.'C/V\
407,80,1,de,de,PRE,1297,de_+S,Pre,Pre,de,906,,C/(e)\
408,80,2,ses,ses,DET:poss,1298,son4_S,Det,Det,son4,906,,C/V\
409,80,3,enfans,enfans,NOM,1299,enfant_+C,N,N,,906,,/V\.'C/V\
410,80,4,",",",",PON,1300,",",Pnc,Pnc,,906,,
