wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
243,38,5,mie,mie,ADV,1267,29,Neg,Neg,mie3,mie,C,"[('VfinGrp', '+'), ('Adv', ''), ('VinfGrp', 'c')]",,ADV,79,'C/V\./(e)\
244,38,6,avoir,avoir,VER:infi,1268,29,Vinf,Vinf,avoir1,avoir,+MIT,"[('VinfGrp', 'c'), ('Vinf', ''), ('PreN', '')]",,VER,79,/V\.'C/V\
245,39,1,de,de,PRE,1286,29,Pre,Pre,de,de,+CIST,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PRE,80,C/(e)\
246,39,2,dieu,dieu,NOM:obj:masc:sg,1287,29,N,N,,dieu,+CIT,"[('PreN', ''), ('PreN', ''), ('Adv', '')]",,NOM,80,C/V\
247,39,3,premier,premier,ADJ:ord:obj:masc:sg,1288,29,Adv,Adv,premier1,premier,C,"[('PreN', ''), ('Adv', ''), ('--', '&')]",,ADJ:ord,80,C/V\.C/<V>\.'/V\
248,39,4,et,et,CON:coord,1289,29,Crd,Crd,et,et,ST,"[('--', '&'), ('Crd', ''), ('PreN', '')]",,CON:coord,80,/V\
249,39,5,pour,pour,PRE,1290,29,Pre,Pre,pour,por2|por,+ST|C,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,80,C/V\
250,39,6,l,l',DET:def:obj:femi:sg,1291,29,Det,Det,le,le,CS,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:def,80,C/\
251,39,7,amour,amour,NOM:obj:femi:sg,1292,29,N,N,,amor,+G,"[('PreN', ''), ('N', ''), ('PrePrn', '')]",,NOM,80,/V\.'C/V\
252,40,1,premier,premier,ADJ:ord:obj:masc:sg,1288,29,Adv,Adv,premier1,premier,C,"[('PreN', ''), ('Adv', ''), ('--', '&')]",,ADJ:ord,80,C/V\.C/<V>\.'/V\
253,40,2,et,et,CON:coord,1289,29,Crd,Crd,et,et,ST,"[('--', '&'), ('Crd', ''), ('PreN', '')]",,CON:coord,80,/V\
254,40,3,pour,pour,PRE,1290,29,Pre,Pre,pour,por2|por,+ST|C,"[('PreN', ''), ('Pre', ''), ('Det', '')]",,PRE,80,C/V\
255,40,4,l,l',DET:def:obj:femi:sg,1291,29,Det,Det,le,le,CS,"[('PreN', ''), ('Det', ''), ('N', '')]",,DET:def,80,C/\
256,40,5,amour,amour,NOM:obj:femi:sg,1292,29,N,N,,amor,+G,"[('PreN', ''), ('N', ''), ('PrePrn', '')]",,NOM,80,/V\.'C/V\
257,40,6,de,de,PRE,1293,29,Pre,Pre,de,de,+CIST,"[('PrePrn', ''), ('Pre', ''), ('Prn', '')]",,PRE,80,C/(e)\
258,40,7,moy,moy,PRO:pers:obj:1:sg:bet,1294,29,Prn,Prn,1ps,je,S,"[('VfinGrp', ''), ('PreN', ''), ('SubVfin', 'c')]",,PRO:pers,80,C/V\
259,41,1,il,il,PRO:pers:suj:3:masc:sg:unb,1303,30,Prn,Prn$,3p,il,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,81,/V\
