wd_id,line_id,linewd,word,lex_id,old_wd_id,chapter_id,syntag,syntag2,lemma,syllabified
38,9,1,et,et,111,5,Crd,Crd,et,/V\
39,9,2,non,non,112,5,Neg,Neg,ne,C/V\
40,9,3,mie,mie,113,5,Neg,Neg,mie3,'C/V\./(e)\
41,9,4,as,as,114,5,Pre+Det,Pre+Det,à.le,/V\
42,9,5,jenouz,jenouz,115,5,N,N,,C/V\.'C/V\
43,10,1,si,si,122,5,Adv,Adv,si4,C/V\
44,10,2,que,que,123,5,Sub,Sub,que,C/(e)\
45,10,3,",",",",124,5,Pnc,Pnc,,
46,10,4,quant,quant,125,5,Sub,Sub,quand,C/V\
47,10,5,les,les,126,5,Det,Det,le,C/V\
48,10,6,enfanz,enfanz,127,5,N,N,,/V\.'C/V\
49,11,1,ou,ou,142,5,Crd,Crd,ou,/V\
50,11,2,aucune,aucune,143,5,QIs,QIs,aucun,/V\.'C/V\.C/(e)\
51,11,3,persone,persone,144,5,N,N,,C/V\.'C/V\.C/(e)\
52,12,1,les,les,163,5,Det,Det,le,C/V\
53,12,2,choses,choses,164,5,N,N,,'C/V\.C/e\
54,12,3,devant,devant,165,5,PrA,PrA,devant,C/V\.'C/V\
55,12,4,dites,dites,166,5,Vpp,Vpp,dire,'C/V\.C/e\
56,13,1,du,du,198,5,Pre+Det,Pre+Det,de.le,C/V\
57,13,2,benoiet,benoiet,199,5,Adj,Adj,,C/V\.C/V\.'C/V\
58,13,3,saint,saint,200,5,Adj,Adj,saint,C/V\
59,13,4,loys,loys,201,5,N,N,,C/V\
60,14,1,eussent,eussent,210,5,Vfin,Vfin,avoir,/(V)\.'/V\.C/e\
61,14,2,commencié,commencié,211,5,Vpp,Vpp,commencer,C/V\.C/V\.'C/V\
62,15,1,a,a,212,5,Pre,Pre,à,/V\
63,15,2,venir,venir,213,5,Vinf,Vinf,venir,C/V\.'C/V\
64,15,3,au,au,214,5,Pre+Det,Pre+Det,à.le,/V\
65,15,4,tombel,tombel,215,5,N,N,,C/V\.'C/V\
66,16,1,du,du,216,5,Pre+Det,Pre+Det,de.le,C/V\
67,16,2,benoiet,benoiet,217,5,Adj,Adj,,C/V\.C/V\.'C/V\
68,16,3,saint,saint,218,5,Adj,Adj,saint,C/V\
69,16,4,loys,loys,219,5,N,N,,C/V\
70,17,1,pour,pour,220,5,Pre,Pre,pour,C/V\
71,17,2,sante,santé,221,5,N,N,,C/V\.'C/V\
72,17,3,recouvrer,recouvrer,222,5,Vinf,Vinf,recouvrer,C/V\.C/V\.'C/V\
73,18,1,et,et,239,5,Crd,Crd,et,/V\
74,18,2,du,du,240,5,Pre+Det,Pre+Det,de.le,C/V\
75,18,3,commencement,commencement,241,5,N,N,,C/V\.C/V\.C/e\.'C/V\
76,19,1,ala,ala,256,5,Vfin,Vfin,aller,/V\.'C/V\
77,19,2,a,a,257,5,Pre,Pre,à,/V\
78,19,3,la,la,258,5,Det,Det,le,C/V\
79,19,4,meson,meson,259,5,N,N,,C/V\.'C/V\
80,20,1,qui,qui,263,5,Qux,Qux,qui,C/V\
81,20,2,estoit,estoit,264,5,Vfin,Vfin,être,/V\.'C/V\
