wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
95,24,2,pour,pour,419,625,Pre,Pre,pour,C/V\
96,24,3,lors,lors,420,625,Adv,Adv,lors,C/V\
97,24,4,son,son,421,625,Det,Det,son4,C/V\
98,24,5,estat,estat,422,625,N,N,,/V\.'C/V\
99,25,1,de,de,438,627,Pre,Pre,de,C/(e)\
100,25,2,plus,plus,439,627,Adv,Adv,plus,C/V\
101,25,3,grant,grant,440,627,Adj,Adj,grand,C/V\
102,25,4,maleurté,maleurté,441,627,N,N,,C/V\.C/(V)\./V\.'C/V\
103,26,1,maleurté,maleurté,441,627,N,N,,C/V\.C/(V)\./V\.'C/V\
104,26,2,et,et,442,627,Crd,Crd,et,/V\
105,26,3,douleur,douleur,443,628,N,N,,C/V\.'C/V\
106,27,1,et,et,442,627,Crd,Crd,et,/V\
107,27,2,douleur,douleur,443,628,N,N,,C/V\.'C/V\
108,27,3,advenir,advenir,444,628,Pre+Vinf,Pre+Vinf,à.venir,/V\.C/e\.'C/V\
109,28,1,de,de,449,628,Pre,Pre,de,C/(e)\
110,28,2,ce,ce,450,628,Prn,Prn,ce,C/(e)\
111,28,3,",",",",451,628,Pnc,Pnc,,
112,28,4,ses,ses,452,628,Det,Det,son4,C/V\
113,28,5,blons,blons,453,628,Adj,Adj,,C/V\
114,28,6,cheveulx,cheveulx,454,628,N,N,,C/V\.'C/V\
115,29,1,que,que,494,632,Sub,Sub,que,C/(e)\
116,29,2,ja,ja,495,632,Adv,Adv,jà,C/V\
117,29,3,penchoit,penchoit,496,632,Vfin,Vfin,,C/V\.'C/V\
118,29,4,de,de,497,632,Pre,Pre,de,C/(e)\
119,29,5,coste,coste,498,632,N,N,,'C/V\.C/(e)\
120,30,1,ou,ou,520,701,Pre+Det,Pre+Det,en.le,/V\
121,30,2,paille,paille,521,701,N,N,,'C/V\.C/(e)\
122,30,3,qui,qui,522,701,Qux,Qux,qui,C/V\
123,30,4,son,son,523,701,Det,Det,son4,C/V\
124,30,5,corps,corps,524,701,N,N,,C/V\
125,31,1,fait,fait,531,702,Vfin,Vfin,faire,C/V\
126,31,2,a,a,532,702,Pre,Pre,à,/V\
127,31,3,ramentevoir,ramentevoir,533,702,Vinf,Vinf,ramentevoir,C/V\.C/V\.C/e\.'C/V\
128,32,1,De,de,535,702,Pre,Pre,de,C/(e)\
129,32,2,trois,trois,536,702,QIs,QIs,trois,C/V\
130,32,3,paires,paires,537,703,N,N,,'C/V\.C/e\
131,32,4,d',d',538,703,Pre,Pre,de,C/\
132,32,5,ouvraiges,ouvraiges,539,703,N,N,,/V\.'C/V\.C/e\
133,33,1,sembloit,sembloit,540,703,Vfin,Vfin,sembler,C/V\.'C/V\
134,33,2,avoir,avoir,541,703,Vinf,Vinf,avoir,/V\.'C/V\
135,33,3,esté,esté,542,703,Vpp,Vpp,être,/V\.'C/V\
136,34,1,tissu,tissu,543,703,Vpp,Vpp,tistre,C/V\.'C/V\
137,34,2,et,et,544,703,Crd,Crd,et,/V\
138,34,3,assemblé,assemblé,545,703,Vpp,Vpp,assembler,/V\.C/V\.'C/V\
139,35,1,Premierement,premierement,547,704,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\
140,35,2,",",",",548,704,Pnc,Pnc,,
141,35,3,en,en,549,704,Pre,Pre,en,/V\
142,35,4,chief,chief,550,704,N,N,,C/V\
143,36,1,d',d',552,704,Pre,Pre,de,C/\
144,36,2,ancienne,ancienne,553,704,Adj,Adj,,/V\.C/{V}\.'/V\.C/(e)\
145,36,3,brodeure,brodeure,554,704,N,N,,C/V\.'C/V\
146,37,1,les,les,563,705,Det,Det,le,C/V\
147,37,2,nobles,nobles,564,705,Adj,Adj,noble,'C/V\.C/e\
148,37,3,fleurs,fleurs,565,705,N,N,,C/V\
149,37,4,de,de,566,706,Pre,Pre,de,C/(e)\
150,37,5,lis,lis,567,706,N,N,,C/V\
151,38,1,de,de,566,706,Pre,Pre,de,C/(e)\
152,38,2,lis,lis,567,706,N,N,,C/V\
153,38,3,tout,tout,568,706,QIs,QIs,tout,C/V\
154,38,4,en,en,569,706,Pre,Pre,en,/V\
155,38,5,travers,travers,570,706,N,N,,C/V\.'C/V\
156,39,1,tout,tout,568,706,QIs,QIs,tout,C/V\
157,39,2,en,en,569,706,Pre,Pre,en,/V\
158,39,3,travers,travers,570,706,N,N,,C/V\.'C/V\
159,39,4,semees,semees,571,706,Vpp,Vpp,semer,C/V\.'C/V\./e\
160,40,1,semees,semees,571,706,Vpp,Vpp,semer,C/V\.'C/V\./e\
161,40,2,de,de,572,706,Pre,Pre,de,C/(e)\
162,40,3,banieres,banieres,573,706,N,N,,C/V\.'C/V\.C/e\
163,41,1,gonphanons,gonphanons,575,706,N,N,,C/V\.C/V\.'C/V\
164,41,2,et,et,576,706,Crd,Crd,et,/V\
165,41,3,ensaignes,ensaignes,577,707,N,N,,/V\.'C/V\.C/e\
166,42,1,de,de,608,710,Pre,Pre,de,C/(e)\
167,42,2,diverses,diverses,609,710,QIs,QIs,divers,C/V\.'C/V\.C/e\
168,42,3,sciences,sciences,610,710,N,N,,C/V\.'C/V\.C/e\
169,43,1,qui,qui,628,712,Qux,Qux,qui,C/V\
170,43,2,vers,vers,629,712,Pre,Pre,vers2,C/V\
171,43,3,terre,terre,630,712,N,N,,'C/V\.C/(e)\
172,43,4,pendoit,pendoit,631,712,Vfin,Vfin,pendre,C/V\.'C/V\
173,44,1,assez,assez,633,712,Adv,Adv,assez,/V\.'C/V\
174,44,2,povoit,povoit,634,712,Vfin,Vfin,pouvoir2,C/V\.'C/V\
175,44,3,on,on,635,712,Prn,Prn%,on,/V\
176,44,4,veoir,veoir,636,712,Vinf,Vinf,voir,C/(V)\.'/V\
177,45,1,et,et,646,714,Crd,Crd,et,/V\
178,45,2,semences,semences,647,714,N,N,,C/V\.'C/V\.C/e\
179,45,3,tendans,tendans,648,714,Vprs,Vprs,tendre,C/V\.'C/V\
