wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,syntag,syntag2,lemma,syllabified
75,18,4,veues,veües,256,16,Vpp,Vpp,voir,C/(V)\.'/V\./e\
76,19,1,bien,bien,259,16,Adv,Adv,bien,C/V\
77,19,2,avons,avons,260,16,Vfin,Vfin,avoir,/V\.'C/V\
78,19,3,queneu,queneu,261,16,Vpp,Vpp,connaître,C/V\.C/(V)\.'/V\
79,20,1,qui,qui,270,16,Qux,Qux,qui,C/V\
80,20,2,soient,soient,271,16,Vfin,Vfin,être,'C/V\./e\
81,20,3,sanz,sanz,272,16,Pre,Pre,sans,C/V\
82,20,4,corone,corone,273,16,N,N,,C/V\.'C/V\.C/(e)\
83,21,1,demain,demain,326,17,Adv,Adv,demain,C/V\.'C/V\
84,21,2,se,se,327,17,Sub,Sub,si3,C/(e)\
85,21,3,il,il,328,17,Prn,Prn$,il,/V\
86,21,4,vos,vos,329,17,Prn,Prn$$,vous,C/V\
87,21,5,plaist,plaist,330,17,Vfin,Vfin,plaire,C/V\
88,22,1,ce,ce,354,17,Prn,Prn,ce,C/(e)\
89,22,2,que,que,355,17,Qux,Qux,que,C/(e)\
90,22,3,il,il,356,17,Prn,Prn$,il,/V\
91,22,4,requeroient,requeroient,357,17,Vfin,Vfin,requérir,C/V\.C/e\.'C/V\./e\
92,23,1,et,et,378,18,Crd,Crd,et,/V\
93,23,2,troverent,troverent,379,18,Vfin,Vfin,trouver,C/V\.'C/V\.C/e\
