wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
299,65,4,compaingnon,compaingnon,1823,603,N,N,,C/V\.C/V\.'C/V\
300,66,1,du,du,1837,604,Pre+Det,Pre+Det,de.le,C/V\
301,66,2,pont,pont,1838,604,N,N,,C/V\
302,66,3,voit,voit,1839,604,Vfin,Vfin,voir,C/V\
303,66,4,Brandelis,brandelis,1840,604,N,N,,C/V\.C/e\.'C/V\
304,67,1,ne,ne,1871,607,Neg,Neg$$,ne,C/(e)\
305,67,2,li,li,1872,607,Prn,Prn$$,li,C/V\
306,67,3,respont,respont,1873,607,Vfin,Vfin,répondre,C/V\.'C/V\
307,67,4,nul,nul,1874,607,QIs,QIs,nul,C/V\
308,67,5,mot,mot,1875,607,N,N,,C/V\
309,68,1,pour,pour,1908,610,Pre,Pre,pour,C/V\
310,68,2,doutance,doutance,1909,610,N,N,,C/V\.'C/V\.C/(e)\
311,68,3,de,de,1910,610,Pre,Pre,de,C/(e)\
312,68,4,lui,lui,1911,610,Prn,Prn,lui,C/V\
313,69,1,passer,passer,2012,618,Vinf,Vinf,passer,C/V\.'C/V\
314,69,2,a,a,2013,618,Pre,Pre,à,/V\
315,69,3,tele,tele,2014,618,Adj,Adj,tel,'C/V\.C/(e)\
316,69,4,hounour,hounour,2015,618,N,N,,/V\.'C/V\
317,70,1,honni,honni,2020,619,Vpp,Vpp,,C/V\.'C/V\
318,70,2,et,et,2021,619,Crd,Crd,et,/V\
319,70,3,vergoignié,vergoignié,2022,619,Vpp,Vpp,,C/V\.C/V\.'C/V\
320,71,1,ce,ce,2026,619,Prn,Prn,ce,C/(e)\
321,71,2,poés,poés,2027,619,Vfin,Vfin,pouvoir2,C/V\.'C/V\
322,71,3,vous,vous,2028,619,Prn,Prn%,vous,C/V\
323,71,4,veoir,veoir,2029,620,Vinf,Vinf,voir,C/(V)\.'/V\
324,72,1,Quant,quant,2134,629,Sub,Sub,quand,C/V\
325,72,2,li,li,2135,629,Det,Det,le,C/V\
326,72,3,doi,doi,2136,629,QIs,QIs,deux,C/V\
327,72,4,compaingnon,compaingnon,2137,629,N,N,,C/V\.C/V\.'C/V\
328,73,1,oent,oent,2138,629,Vfin,Vfin,ouïr,'/V\./e\
329,73,2,cest,cest,2139,629,Dem,Dem,cist,C/V\
330,73,3,parlement,parlement,2140,629,N,N,,C/V\.C/e\.'C/V\
331,74,1,au,au,2158,631,Pre+Det,Pre+Det,à.le,/V\
332,74,2,cevalier,cevalier,2159,631,N,N,,C/V\.C/V\.'C/V\
333,74,3,du,du,2160,631,Pre+Det,Pre+Det,de.le,C/V\
334,74,4,pont,pont,2161,631,N,N,,C/V\
335,75,1,de,de,2203,702,Pre,Pre,de,C/(e)\
336,75,2,ses,ses,2204,702,Det,Det,son4,C/V\
337,75,3,deus,deus,2205,702,QIs,QIs,deux,C/V\
338,75,4,compaingnons,compaingnons,2206,702,N,N,,C/V\.C/V\.'C/V\
339,76,1,de,de,2259,706,Pre,Pre,de,C/(e)\
340,76,2,ces,ces,2260,706,Dem,Dem,cist,C/V\
341,76,3,deus,deus,2261,706,QIs,QIs,deux,C/V\
342,76,4,chevaliers,chevaliers,2262,706,N,N,,C/V\.C/V\.'C/V\
343,77,1,de,de,2270,707,Pre,Pre,de,C/(e)\
344,77,2,la,la,2271,707,Det,Det,le,C/V\
345,77,3,Table,table,2272,707,N,N,,'C/V\.C/(e)\
346,77,4,Reonde,reonde,2273,707,Adj,Adj,,C/(V)\.'/V\.C/(e)\
347,78,1,Lors,lors,2281,708,Adv,Adv,lors,C/V\
348,78,2,conmenche,conmenche,2282,708,Vfin,Vfin,commencer,C/V\.'C/V\.C/(e)\
349,78,3,a,a,2283,708,Pre,Pre,à,/V\
350,78,4,penser,penser,2284,708,Vinf,Vinf,penser,C/V\.'C/V\
351,79,1,le,le,2296,709,Det,Det,le,C/(e)\
352,79,2,cevalier,cevalier,2297,709,N,N,,C/V\.C/V\.'C/V\
353,79,3,du,du,2298,709,Pre+Det,Pre+Det,de.le,C/V\
354,79,4,pont,pont,2299,709,N,N,,C/V\
355,80,1,de,de,2323,712,Pre,Pre,de,C/(e)\
356,80,2,ces,ces,2324,712,Dem,Dem,cist,C/V\
357,80,3,deus,deus,2325,712,QIs,QIs,deux,C/V\
358,80,4,cevaliers,cevaliers,2326,712,N,N,,C/V\.C/V\.'C/V\
359,81,1,il,il,2340,713,Prn,Prn$,il,/V\
360,81,2,dist,dist,2341,713,Vfin,Vfin,dire,C/V\
361,81,3,a,a,2342,713,Pre,Pre,à,/V\
362,81,4,ses,ses,2343,713,Det,Det,son4,C/V\
363,81,5,esquiers,esquiers,2344,713,N,N,,/V\.'C/V\
364,82,1,Li,li,2364,714,Det,Det,le,C/V\
365,82,2,uns,uns,2365,714,QIs,QIs,un,/V\
366,82,3,de,de,2366,714,Pre,Pre,de,C/(e)\
367,82,4,ses,ses,2367,714,Det,Det,son4,C/V\
368,82,5,esquiers,esquiers,2368,715,N,N,,/V\.'C/V\
369,83,1,et,et,2374,715,Crd,Crd,et,/V\
370,83,2,li,li,2375,715,Det,Det,le,C/V\
371,83,3,autres,autres,2376,715,Adj,Adj,autre,'/V\.C/e\
372,83,4,son,son,2377,715,Det,Det,son4,C/V\
373,83,5,glaive,glaive,2378,715,N,N,,'C/V\.C/(e)\
374,84,1,ne,ne,2394,716,Neg,Neg$$,ne,C/(e)\
375,84,2,vous,vous,2395,716,Prn,Prn$$,vous,C/V\
376,84,3,metés,metés,2396,717,Vfin,Vfin,mettre,C/V\.'C/V\
377,84,4,en,en,2397,717,Pre,Pre,en,/V\
378,84,5,l',l',2398,717,Det,Det,le,C/\
379,84,6,aigue,aigue,2399,717,N,N,,'/V\.C/(e)\
380,85,1,car,car,2431,719,Crd,Crd,car,C/V\
381,85,2,je,je,2432,719,Prn,Prn$,je,C/(e)\
382,85,3,me,me,2433,720,Prn,Prn$$,me,C/(e)\
383,85,4,sent,sent,2434,720,Vfin,Vfin,sentir,C/V\
384,85,5,si,si,2435,720,Adv,Adv,si4,C/V\
385,85,6,bien,bien,2436,720,Adv,Adv,bien,C/V\
386,86,1,autre,autre,2454,721,Adj,Adj,autre,'/V\.C/(e)\
387,86,2,delaiement,delaiement,2455,721,N,N,,C/V\.C/V\.C/e\.'C/V\
388,87,1,voient,voient,2475,802,Vfin,Vfin,voir,'C/V\./e\
389,87,2,lour,lour,2476,802,Det,Det,leur2,C/V\
390,87,3,signeur,signeur,2477,802,N,N,,C/V\.'C/V\
391,87,4,outre,outre,2478,802,PrA,PrA,outre2,'/V\.C/(e)\
392,88,1,Li,li,2494,803,Det,Det,le,C/V\
393,88,2,cevaliers,cevaliers,2495,803,N,N,,C/V\.C/V\.'C/V\
394,88,3,du,du,2496,803,Pre+Det,Pre+Det,de.le,C/V\
