wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,ch_id,syntag,syntag2,lemma,verse_id,synfunc,syllabified
31,6,2,part,part,NOM,108,part1|part2|part3|part4_+IT|+T|+T|+T,1,1,N,N,,1,,C/V\
32,6,3,mere,mere,NOM,109,mere_+CIT,1,1,N,N,,1,,'C/V\.C/(e)\
33,6,4,.,.,PON,110,.,1,1,Pnc,Pnc,,1,,
34,6,5,Muilliers,muilliers,NOM,111,moillier_*+T,1,1,N,N,,2,,C/V\.'C/V\
35,6,6,out,out,VER,112,avoir|oloir_+MIIdMd|+M,1,1,Vfin,Vfin,avoir1,2,,/V\
36,6,7,dous,dous,ADJ,113,deus_*+T,1,1,QIs,QIs,2,2,,C/V\
37,7,1,la,la,DET:def,115,le_S,1,1,Det,Det,le,2,,C/V\
38,7,2,plus,plus,ADV,116,plus_CI,1,1,Adv,Adv,plus,2,,C/V\
39,7,3,noble,noble,ADJ,117,noble1|noble_+IT|CI,1,1,Adj,Adj,noble,2,,'C/V\.C/(e)\
40,7,4,fud,fud,VER,118,estre_M,1,1,Vfin,Vfin,être1|ester,2,,C/V\
41,7,5,claméé,clamee,VER,119,clamer_+IM,1,1,Vpp,Vpp,clamer,2,,C/V\.'C/V\./(e)\
42,7,6,Anna,annä,NPR,120,anna_Z,1,1,N,N,,2,c,'/V\.C/(e)\
43,8,1,fud,fud,VER,212,estre_M,1,1,Vfin,Vfin,être1|ester,2,,C/V\
44,8,2,ke,ke,PROCON,213,que1|que2|que3|que4_S|S|S|S,1,1,Sub,Sub,que,2,,C/(e)\
45,8,3,feïst,feist,VER,214,faire|feire_+IM|M,1,1,Vfin,Vfin,faire,2,,C/(V)\.'/V\
46,8,4,sainte,sainte,ADJ,215,saint_I,1,1,Adj,Adj,saint,2,,'C/V\.C/(e)\
47,8,5,engendrure,engendrure,NOM,216,<nolem>,1,1,N,N,,2,,/V\.C/V\.'C/V\.C/(e)\
48,9,1,en,en,PRE,217,en1_+S,1,1,Pre,Pre,en1,2,,/V\
49,9,2,atemprance,atemprance,NOM,218,atemprance_+T,1,1,N,N,,2,,/V\.C/V\.'C/V\.C/(e)\
50,9,3,é,e,CON:coord,219,et_S,1,1,Crd,Crd,et,2,,/V\
51,9,4,en,en,PRE,220,en1_+S,1,1,Pre,Pre,en1,2,,/V\
52,9,5,nettéé,nettee,NOM,221,<nolem>,1,1,N,N,,2,,C/V\.'C/V\./(e)\
53,10,1,que,que,PROCON,229,que3_S,1,1,Sub,Sub,que,2,,C/(e)\
54,10,2,par,par,PRE,230,par_S,1,1,Pre,Pre,par1,2,,C/V\
55,10,3,fiz,fiz,NOM,231,fil2|fius_+T|C,1,1,N,N,,2,,C/V\
56,10,4,fust,fust,VER,232,estre1|fuster_+I|+M,1,1,Vfin,Vfin,être1|ester,2,,C/V\
57,10,5,á,a,PRE,233,a_S,1,1,Pre,Pre,à,2,,/V\
58,10,6,sun,sun,DET:poss,234,son4_S,1,1,Det,Det,son4,2,,C/V\
59,10,7,plaisir,plaisir,NOM,235,plaisir_+IT,1,1,N,N,,2,,C/V\.'C/V\
60,11,1,que,que,PROCON,273,que3_S,2,1,Sub,Sub,que,2,c,C/(e)\
61,11,2,Deu,deu,NOM,274,dieu_+IT,2,1,N,N,,2,s,C/V\
