wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,NCA_line,synfunc,NCA_taggerpos,syllabified
658,113,5,baudoins,baudoins,NPR:suj:masc:sg,2274,40,N,N,,baudoin,Z,411,,NPR,C/V\.'C/V\
659,114,1,et,et,CON:coord,2285,40,Crd,Crd,et,et,ST,413,,CON:coord,/V\
660,114,2,de,de,PRE,2286,40,Pre,Pre,de,de,+CIST,414,,PRE,C/(e)\
661,114,3,chartain,chartain,NPR:obj:masc:sg,2287,40,N,N,,chartain,Z,414,,NPR,C/V\.'C/V\
662,114,4,li,li,DET:def:suj:masc:sg,2288,40,Det,Det,le,le,CST,414,,DET:def,C/V\
663,114,5,cuens,cuens,NOM:suj:masc:sg,2289,40,N,N,,conte1|conte,+IT|I,414,,NOM,C/V\
664,114,6,joffrois,joffrois,NPR:suj:masc:sg,2290,40,N,N,,joffroi,C|Z,415,,NPR,C/V\.'C/V\
665,115,1,lor,lor,PRO:pers:dat:3:pl,2306,41,Prn,Prn$$,3p,il|lor2,CIST|S,418,,PRO:pers,C/V\
666,115,2,mostra,mostra,VER:simp:3:sg,2307,41,Vfin,Vfin,montrer,mostrer,+I,418,,VER,C/V\.'C/V\
667,115,3,la,la,DET:def:obj:femi:sg,2308,41,Det,Det,le,le,CST,418,,DET:def,C/V\
668,115,4,parole,parole,NOM:obj:femi:sg,2309,41,N,N,,parole,+IT,418,,NOM,C/V\.'C/V\.C/(e)\
669,115,5,et,et,CON:coord,2310,41,Crd,Crd,et,et,ST,419,,CON:coord,/V\
670,115,6,l,l,DET:def:obj:femi:sg,2311,41,Det,Det,le,il,CS,419,,PRO:pers,C/\
671,115,7,offre,offre,NOM:obj:femi:sg,2312,41,N,N,,ofrir,+MI,419,,VER,'/V\.C/(e)\
672,116,1,et,et,CON:coord,2310,41,Crd,Crd,et,et,ST,419,,CON:coord,/V\
673,116,2,l,l,DET:def:obj:femi:sg,2311,41,Det,Det,le,il,CS,419,,PRO:pers,C/\
674,116,3,offre,offre,NOM:obj:femi:sg,2312,41,N,N,,ofrir,+MI,419,,VER,'/V\.C/(e)\
675,116,4,que,que,PROCON,2313,41,Qux,Qux,que,que2|que3|que,T|S|C,419,c,PROCON,C/(e)\
676,116,5,il,il,PRO:pers:suj:3:masc:pl,2314,41,Prn,Prn$,3p,il,CIST,419,s,PRO:pers,/V\
677,116,6,avoient,avoient,VER:impf:3:pl,2315,41,Vfin,Vfin,avoir1,avoiier|avoir,+M|+MI,420,,VER,/V\.'C/V\./e\
678,116,7,faite,faite,VER:pper:femi:sg,2316,41,Vpp,Vpp,faire,faire,+CMI,420,,VER,'C/V\.C/(e)\
679,117,1,que,que,PROCON,2313,41,Sub,Sub,que,que2|que3|que,T|S|C,419,c,PROCON,C/(e)\
680,117,2,il,il,PRO:pers:suj:3:masc:pl,2314,41,Prn,Prn$,3p,il,CIST,419,s,PRO:pers,/V\
681,117,3,avoient,avoient,VER:impf:3:pl,2315,41,Vfin,Vfin,avoir1,avoiier|avoir,+M|+MI,420,,VER,/V\.'C/V\./e\
682,117,4,faite,faite,VER:pper:femi:sg,2316,41,Vpp,Vpp,faire,faire,+CMI,420,,VER,'C/V\.C/(e)\
683,117,5,le,le,DET:def:obj:masc:sg,2317,41,Det,Det,le,le,CST,420,,DET:def,C/(e)\
684,117,6,duc,duc,NOM:obj:masc:sg,2318,41,N,N,,duc1|duc2,+T|+IT,420,,NOM,C/V\
685,118,1,le,le,DET:def:obj:masc:sg,2317,41,Det,Det,le,le,CST,420,,DET:def,C/(e)\
686,118,2,duc,duc,NOM:obj:masc:sg,2318,41,N,N,,duc1|duc2,+T|+IT,420,,NOM,C/V\
687,118,3,de,de,PRE,2319,41,Pre,Pre,de,de,+CIST,420,,PRE,C/(e)\
688,118,4,borgoigne,borgoigne,NPR:obj:femi:sg,2320,41,N,N,,borgoigne,I|Z,420,,NPR,C/V\.'C/V\.C/(e)\
689,118,5,et,et,CON:coord,2321,41,Crd,Crd,et,et,ST,421,,CON:coord,/V\
690,118,6,le,le,DET:def:obj:masc:sg,2322,41,Det,Det,le,le,CST,421,,DET:def,C/(e)\
691,118,7,conte,conte,NOM:obj:masc:sg,2323,41,N,N,,conte1|conte2,+IT|+IT,421,,NOM,'C/V\.C/(e)\
692,119,1,et,et,CON:coord,2321,41,Crd,Crd,et,et,ST,421,,CON:coord,/V\
693,119,2,le,le,DET:def:obj:masc:sg,2322,41,Det,Det,le,le,CST,421,,DET:def,C/(e)\
694,119,3,conte,conte,NOM:obj:masc:sg,2323,41,N,N,,conte1|conte2,+IT|+IT,421,,NOM,'C/V\.C/(e)\
695,119,4,de,de,PRE,2324,41,Pre,Pre,de,de,+CIST,421,,PRE,C/(e)\
696,119,5,barleduc,barleduc,NPR:obj:masc:sg,2325,41,N,N,,UNKNOWN,C,421,,NPR,C/V\.C/e\.'C/V\
697,120,1,je,je,PRO:pers:suj:1:sg:unb,2339,41,Prn,Prn$,1ps,je,CIST,424,s,PRO:pers,C/(e)\
698,120,2,vos,vos,PRO:pers:2:pl,2340,41,Prn,Prn$$,2pp,ous2|vos1|vos,T|S|I,424,,PRO:pers,C/V\
699,120,3,loeroie,loeroie,VER:cond:1:sg,2341,41,Vfin,Vfin,louer,löer1,+Id,424,,VER,C/V\.C/e\.'C/V\./(e)\
