wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
711,160,3,estoit,estoit,2502,822,Vfin,Vfin,être,/V\.'C/V\
712,160,4,preudoms,preudoms,2503,822,N,N,,C/V\.'C/V\
713,161,1,et,et,2506,822,Crd,Crd,et,/V\
714,161,2,plain,plain,2507,822,Adj,Adj,plein,C/V\
715,161,3,de,de,2508,822,Pre,Pre,de,C/(e)\
716,161,4,bon,bon,2509,822,Adj,Adj,bon,C/V\
717,161,5,consseil,consseil,2510,822,N,N,,C/V\.'C/V\
718,162,1,qui,qui,2524,824,Qux,Qux,qui,C/V\
719,162,2,l',l',2525,824,Prn,Prn$$,le,C/\
720,162,3,ose,ose,2526,824,Vfin,Vfin,oser,'/V\.C/(e)\
721,162,4,courechier,courechier,2527,824,Vinf,Vinf,,C/V\.C/V\.'C/V\
722,163,1,qui,qui,2552,826,Qux,Qux,qui,C/V\
723,163,2,quide,quide,2553,826,Vfin,Vfin,cuider,'C/V\.C/(e)\
724,163,3,assés,assés,2554,826,Adv,Adv,assez,/V\.'C/V\
725,163,4,savoir,savoir,2555,826,Vinf,Vinf,savoir,C/V\.'C/V\
726,164,1,ne,ne,2612,830,Crd,Crd,ne2,C/(e)\
727,164,2,ne,ne,2613,830,Neg,Neg$$,ne,C/(e)\
728,164,3,vouroie,vouroie,2614,830,Vfin,Vfin,vouloir,C/V\.'C/V\./(e)\
729,164,4,faire,faire,2615,830,Vinf,Vinf,faire,'C/V\.C/(e)\
730,165,1,qui,qui,2628,831,Qux,Qux,qui,C/V\
731,165,2,fuist,fuist,2629,831,Vfin,Vfin,être,C/V\.'C/V\
732,165,3,à,à,2630,831,Pre,Pre,à,/V\
733,165,4,reprendre,reprendre,2631,832,Vinf,Vinf,reprendre,C/V\.'C/V\.C/(e)\
734,166,1,sour,sour,2644,833,PrA,PrA,sur,C/V\
735,166,2,moy,moy,2645,833,Prn,Prn,moi,C/V\
736,166,3,et,et,2646,833,Crd,Crd,et,/V\
737,166,4,sans,sans,2647,833,Pre,Pre,sans,C/V\
738,166,5,raison,raison,2648,833,N,N,,C/V\.'C/V\
739,167,1,de,de,2687,836,Pre,Pre,de,C/(e)\
740,167,2,Cam,cam,2688,836,N,N,,C/V\
741,167,3,que,que,2689,836,Qux,Qux,que,C/(e)\
742,167,4,là,là,2690,836,Adv,Adv,là,C/V\
743,167,5,veés,veés,2691,836,Vfin,Vfin,voir,C/(V)\.'/V\
744,168,1,Si,si,2723,839,Adv,Adv,si4,C/V\
745,168,2,m',m',2724,839,Prn,Prn$$,me,C/\
746,168,3,en,en,2725,839,Prn,Prn$$,en2,/V\
747,168,4,sui,sui,2726,839,Vfin,Vfin,être,C/V\
748,168,5,chy,chy,2727,839,Adv,Adv,ci,C/V\
749,168,6,afuie,afuie,2728,839,Vpp,Vpp,,/V\.'C/V\./(e)\
750,169,1,comme,comme,2729,839,Sub,Sub,comme,'C/V\.C/(e)\
751,169,2,femme,femme,2730,839,N,N,,'C/V\.C/(e)\
752,169,3,esgaree,esgaree,2731,839,Vpp,Vpp,,/V\.C/V\.'C/V\./(e)\
753,170,1,deviers,deviers,2734,840,PrA,PrA,devers,C/V\.'C/V\
754,170,2,vous,vous,2735,840,Prn,Prn,vous,C/V\
755,170,3,pour,pour,2736,840,Pre,Pre,pour,C/V\
756,170,4,avoir,avoir,2737,840,Vinf,Vinf,avoir,/V\.'C/V\
757,171,1,premierement,premierement,2748,841,Adv,Adv,,C/V\.C/V\.C/e\.'C/V\
758,171,2,et,et,2749,841,Crd,Crd,et,/V\
759,171,3,vous,vous,2750,841,Prn,Prn,vous,C/V\
760,172,1,Quant,quant,2763,901,Sub,Sub,quand,C/V\
761,172,2,li,li,2764,901,Det,Det,le,C/V\
762,172,3,nobles,nobles,2765,901,Adj,Adj,noble,'C/V\.C/e\
763,172,4,roys,roys,2766,901,N,N,,C/V\
764,172,5,Carles,carles,2767,901,N,N,,'C/V\.C/e\
765,173,1,eut,eut,2770,901,Vfin,Vfin,avoir,/V\
766,173,2,oy,oÿ,2771,901,Vpp,Vpp,ouïr,/V\.'C/V\
767,173,3,sa,sa,2772,901,Det,Det,son4,C/V\
768,173,4,serour,serour,2773,901,N,N,,C/V\.'C/V\
769,174,1,si,si,2796,903,Adv,Adv,si4,C/V\
770,174,2,en,en,2797,903,Prn,Prn$$,en2,/V\
771,174,3,eut,eut,2798,903,Vfin,Vfin,avoir,/V\
772,174,4,grant,grant,2799,903,Adj,Adj,grand,C/V\
773,174,5,pitet,pitét,2800,903,N,N,,C/V\.'C/V\
774,175,1,car,car,2815,904,Crd,Crd,car,C/V\
775,175,2,foy,foy,2816,904,N,N,,C/V\
776,175,3,que,que,2817,904,Qux,Qux,que,C/(e)\
777,175,4,doy,doy,2818,904,Vfin,Vfin,devoir2,C/V\
778,175,5,à,à,2819,905,Pre,Pre,à,/V\
779,175,6,Dieu,dieu,2820,905,N,N,,C/V\
780,176,1,li,li,2842,906,Det,Det,le,C/V\
781,176,2,roys,roys,2843,906,N,N,,C/V\
782,176,3,",",",",2844,906,Pnc,Pnc,,
783,176,4,tout,tout,2845,906,QIs,QIs,tout,C/V\
784,176,5,bas,bas,2846,906,Adj,Adj,,C/V\
785,176,6,à,à,2847,906,Pre,Pre,à,/V\
786,176,7,terre,terre,2848,906,N,N,,'C/V\.C/(e)\
787,177,1,Dieux,dieux,2862,908,N,N,,C/V\
788,177,2,vous,vous,2863,908,Prn,Prn$$,vous,C/V\
789,177,3,en,en,2864,908,Prn,Prn$$,en2,/V\
790,177,4,voeille,voeille,2865,908,Vfin,Vfin,vouloir,'C/V\.C/(e)\
791,177,5,oyr,oÿr,2866,909,Vinf,Vinf,ouïr,/V\.'C/V\
792,178,1,dou,dou,2920,913,Pre+Det,Pre+Det,de.le,C/V\
793,178,2,roy,roy,2921,913,N,N,,C/V\
794,178,3,Charlon,charlon,2922,913,N,N,,C/V\.'C/V\
795,178,4,de,de,2923,913,Pre,Pre,de,C/(e)\
796,178,5,France,france,2924,913,N,N,,'C/V\.C/(e)\
797,179,1,et,et,2927,914,Crd,Crd,et,/V\
798,179,2,li,li,2928,914,Prn,Prn$$,li,C/V\
799,179,3,fist,fist,2929,914,Vfin,Vfin,faire,C/V\
800,179,4,delivrer,delivrer,2930,914,Vinf,Vinf,,C/V\.C/V\.'C/V\
801,180,1,tout,tout,2938,914,QIs,QIs,tout,C/V\
802,180,2,ce,ce,2939,914,Prn,Prn,ce,C/(e)\
803,180,3,qui,qui,2940,914,Qux,Qux,qui,C/V\
804,180,4,à,à,2941,914,Pre,Pre,à,/V\
805,180,5,le,le,2942,914,Det,Det,le,C/(e)\
806,180,6,roynne,roynne,2943,915,N,N,,'C/V\.C/(e)\
807,181,1,que,que,2960,916,Qux,Qux,que,C/(e)\
808,181,2,vous,vous,2961,916,Prn,Prn$,vous,C/V\
809,181,3,avés,avés,2962,916,Vfin,Vfin,avoir,/V\.'C/V\
810,181,4,oy,oÿ,2963,916,Vpp,Vpp,ouïr,/V\.'C/V\
811,182,1,Carlez,carlëz,2964,917,N,N,,'C/V\.C/e\
812,182,2,li,li,2965,917,Det,Det,le,C/V\
