wd_id,line_id,linewd,word,lex_id,old_wd_id,page_id,syntag,syntag2,lemma,syllabified
541,121,1,au,au,2987,1034,Pre+Det,Pre+Det,à.le,/V\
542,121,2,bas,bas,2988,1034,Adj,Adj,,C/V\
543,121,3,boult,boult,2989,1034,N,N,,C/V\
544,121,4,de,de,2990,1034,Pre,Pre,de,C/(e)\
545,121,5,la,la,2991,1034,Det,Det,le,C/V\
546,121,6,table,table,2992,1034,N,N,,'C/V\.C/(e)\
547,122,1,de,de,2990,1034,Pre,Pre,de,C/(e)\
548,122,2,la,la,2991,1034,Det,Det,le,C/V\
549,122,3,table,table,2992,1034,N,N,,'C/V\.C/(e)\
550,122,4,du,du,2993,1034,Pre+Det,Pre+Det,de.le,C/V\
551,122,5,roy,roy,2994,1034,N,N,,C/V\
552,123,1,du,du,2993,1034,Pre+Det,Pre+Det,de.le,C/V\
553,123,2,roy,roy,2994,1034,N,N,,C/V\
554,123,3,et,et,2995,1034,Crd,Crd,et,/V\
555,123,4,de,de,2996,1034,Pre,Pre,de,C/(e)\
556,123,5,la,la,2997,1034,Det,Det,le,C/V\
557,123,6,royne,royne,2998,1034,N,N,,C/(V)\.'/V\.C/(e)\
558,124,1,que,que,3030,1034,Sub,Sub,que,C/(e)\
559,124,2,le,le,3031,1034,Det,Det,le,C/(e)\
560,124,3,petit,petit,3032,1034,Adj,Adj,petit,C/V\.'C/V\
561,124,4,Saintré,saintré,3033,1034,N,N,,C/V\.'C/V\
562,125,1,oultre,oultre,3071,1034,PrA,PrA,outre2,'/V\.C/(e)\
563,125,2,.,.,3072,1034,Pnc,Pnc,,
564,125,3,«,«,3073,1034,Pnc,Pnc,,
565,125,4,Or,or,3074,1034,Adv,Adv,or2,/V\
566,125,5,laissiet,laissiet,3075,1034,Vfin,Vfin,laisser,C/V\.'C/V\
567,125,6,moy,moy,3076,1034,Prn,Prn%$,moi,C/V\
568,125,7,faire,faire,3077,1034,Vinf,Vinf,faire,'C/V\.C/(e)\
569,126,1,une,une,3113,1034,QIs,QIs,un,'/V\.C/(e)\
570,126,2,tasse,tasse,3114,1034,N,N,,'C/V\.C/(e)\
571,126,3,et,et,3115,1034,Crd,Crd,et,/V\
572,126,4,servir,servir,3116,1034,Vinf,Vinf,servir,C/V\.'C/V\
573,127,1,le,le,3118,1034,Prn,Prn$$,le,C/(e)\
574,127,2,fist,fist,3119,1034,Vfin,Vfin,faire,C/V\
575,127,3,a,a,3120,1034,Pre,Pre,à,/V\
576,127,4,soy,soy,3121,1034,Prn,Prn$,soi,C/V\
577,127,5,venir,venir,3122,1034,Vinf,Vinf,venir,C/V\.'C/V\
578,128,1,en,en,3150,1034,Pre,Pre,en,/V\
579,128,2,la,la,3151,1034,Det,Det,le,C/V\
580,128,3,ville,ville,3152,1034,N,N,,'C/V\.C/(e)\
581,128,4,moy,moy,3153,1034,Prn,Prn$$,moi,C/V\
582,128,5,faire,faire,3154,1034,Vinf,Vinf,faire,'C/V\.C/(e)\
583,129,1,sy,sy,3173,1034,Adv,Adv,si4,C/V\
584,129,2,doulcement,doulcement,3174,1034,Adv,Adv,,C/V\.C/e\.'C/V\
585,129,3,parler,parler,3175,1034,Vinf,Vinf,parler,C/V\.'C/V\
586,130,1,en,en,3189,1035,Pre,Pre,en,/V\
587,130,2,oubly,oubly,3190,1035,N,N,,/V\.'C/V\
588,130,3,;,;,3191,1035,Pnc,Pnc,,
589,130,4,sy,sy,3192,1035,Adv,Adv,si4,C/V\
590,130,5,lui,lui,3193,1035,Prn,Prn$$,lui,C/V\
591,130,6,dist,dist,3194,1035,Vfin,Vfin,dire,C/V\
592,131,1,et,et,3209,1035,Crd,Crd,et,/V\
593,131,2,aussi,aussi,3210,1035,Adv,Adv,aussi,/V\.'C/V\
594,131,3,fist,fist,3211,1035,Vfin,Vfin,faire,C/V\
595,131,4,la,la,3212,1035,Det,Det,le,C/V\
596,131,5,royne,royne,3213,1035,N,N,,C/(V)\.'/V\.C/(e)\
597,132,1,Lors,lors,3215,1035,Adv,Adv,lors,C/V\
598,132,2,le,le,3216,1035,Det,Det,le,C/(e)\
599,132,3,petit,petit,3217,1035,Adj,Adj,petit,C/V\.'C/V\
600,132,4,Saintré,saintré,3218,1035,N,N,,C/V\.'C/V\
601,133,1,assise,assise,3275,1035,Vpp,Vpp,asseoir,/V\.'C/V\.C/(e)\
602,133,2,sur,sur,3276,1035,PrA,PrA,sur,C/V\
603,133,3,les,les,3277,1035,Det,Det,le,C/V\
604,133,4,piez,piez,3278,1035,N,N,,C/V\
605,134,1,qu',qu',3290,1035,Sub,Sub,que,C/\
606,134,2,ilz,ilz,3291,1035,Prn,Prn$,il,/V\
607,134,3,s',s',3292,1035,Prn,Prn$$,se,C/\
608,134,4,en,en,3293,1035,Prn,Prn$$,en2,/V\
609,134,5,allassent,allassent,3294,1035,Vfin,Vfin,aller,/V\.'C/V\.C/e\
610,134,6,hors,hors,3295,1035,PrA,PrA,hors,C/V\
611,135,1,doit,doit,3342,1035,Vfin,Vfin,devoir2,C/V\
612,135,2,on,on,3343,1035,Prn,Prn%,on,/V\
613,135,3,prendre,prendre,3344,1035,Vinf,Vinf,prendre,'C/V\.C/(e)\
614,135,4,d',d',3345,1035,Pre,Pre,de,C/\
615,135,5,un,un,3346,1035,QIs,QIs,un,/V\
