lex_id,syll_str,in_el,fin_el,ms,backwards dd
aimera,vsv,y,n,,
aimeraie,vsvs,y,y,,
aimerez,vsv,y,n,,
aimeri,vsv,y,n,,
aimeroient,vsvs,y,n,,
aimeroit,vsv,y,n,,
aimes,vs,y,n,,
aimet,vs,y,y,,
aimez,vv,y,n,,
aimi,vv,y,n,,
aimme,vs,y,y,,
aimment,vs,y,n,,
aimmet,vs,y,n,,
aims,v,y,n,,
ain,v,y,n,,
ainc,v,y,n,,
ainceis,vv,y,n,,
aincesk,vv,y,n,,
ainchois,vv,y,n,,
aincois,vv,y,n,,
ainçois,vv,y,n,,
aincoisque,vvs,y,y,,
ainçoys,vv,y,n,,
aines,vs,y,n,,
ainez,vv,y,n,,
aing,v,y,n,,
aingneal,vv,y,n,,
ainme,vs,y,y,,
ainment,vv,y,n,,
