"wd_id","line_id","linewd","word","lex_id","tag","textlineid","lemma"
185,27,3,"fait","fait","VER",1497,"faire|farre_+CMI|M"
186,27,4,"par","par","PRE",1497,"par_S"
187,27,5,"son","son","DET:poss",1497,"son4_S"
188,27,6,"haussaige","haussaige","NIL",1497,"haussage_G"
189,28,1,"Sa","sa","DET:poss",1498,"son4_S"
190,28,2,"coustume","coustume","NOM",1498,"costume_+C"
191,28,3,"et","et","CON:coord",1498,"et_S"
192,28,4,"son","son","DET:poss",1498,"son4_S"
193,28,5,"usaige","usaige","NOM",1498,"usage_+C"
194,28,6,".",".","PON",1498,"."
195,28,7,"»","»","PON:cit",1498,"»"
196,29,1,"Dame","dame","NOM",1519,"dam|dame|dan2_+T|+CIT|+T"
197,29,2,",",",","PON",1519,","
198,29,3,"dist","dist","VER",1519,"dire_+CMI"
199,29,4,"elle","elle","PRO:pers",1519,"il_S"
200,29,5,",",",","PON",1519,","
201,29,6,"à","à","NOM",1519,"<unknown>"
202,29,7,"vous","vous","PRO:pers",1519,"vos1_S"
203,29,8,"je","je","PRO:pers",1519,"je_S"
204,29,9,"vien","vien","VER",1519,"venir_+I"
205,30,1,"Tencier","tencier","VER",1520,"tencier_+IMT"
206,30,2,"pour","pour","PRE",1520,"por2_+S"
207,30,3,"deffendre","deffendre","VER",1520,"defendre_*+I"
208,30,4,"le","le","DET:def",1520,"le_S"
209,30,5,"mien","mien","PRO:poss",1520,"mien_S"
210,30,6,".",".","PON",1520,"."
211,31,1,"Dont","dont","ADV",1521,"donc|dont_I|I"
212,31,2,"vous","vous","PRO:pers",1521,"vos1_S"
213,31,3,"vient","vient","VER",1521,"venir_+I"
214,31,4,"il","il","PRO:pers",1521,"il_S"
215,31,5,"à","à","VER",1521,"<unknown>"
216,31,6,"remuer","remuer","VER",1521,"remüer_+IIdTd"
217,32,1,"Mes","mes","DET:poss",1522,"mon1_S"
218,32,2,"ordenances","ordenances","NOM",1522,"ordenance_*+CT"
219,32,3,"et","et","CON:coord",1522,"et_S"
220,32,4,"muer","muer","VER",1522,"müer_+IIdTd"
221,32,5,"?","?","PON",1522,"?"
222,33,1,"Souffire","souffire","VER",1523,"souffir|souffire|suffire_M|M|M"
223,33,2,"vous","vous","PRO:pers",1523,"vos1_S"
224,33,3,"dëust","deust","VER",1523,"devoir_+M"
225,33,4,"assez","assez","ADV",1523,"assez_+IT"
226,34,1,"La","la","DET:def",1524,"le_S"
227,34,2,"partie","partie","NOM",1524,"partie_+CIT"
228,34,3,"que","que","PROCON",1524,"que3_S"
229,34,4,"vous","vous","PRO:pers",1524,"vos1_S"
230,34,5,"avez","avez","VER",1524,"avoir_+IM"
231,34,6,",",",","PON",1524,","
232,35,1,"Sans","sans","PRE",1525,"sans_+S"
233,35,2,"vous","vous","PRO:pers",1525,"vos1_S"
234,35,3,"de","de","PRE",1525,"de_+S"
235,35,4,"la","la","DET:def",1525,"le_S"
236,35,5,"moie","moie","PRO:poss",1525,"mien_S"
237,35,6,"mesler","mesler","VER",1525,"mesler_+IMT"
238,36,1,"Et","et","CON:coord",1526,"et_S"
